state,decision_id,decision,score,distinctive_max,distance_km,grid3_id,grid3_code,grid3_name,grid3_admin_path,hfr_id,hfr_code,hfr_name,hfr_admin_path,evidence,review_outcome,reviewer,reviewed_at,reason
Kano,xwd:sha256:0c59e531ffb7e92a6647a7224e544ee26f0480d49e83d067b04cd76e3feb6cf1,review,0.6665,0.86,0.0,grid3:15b86aca-ba72-459c-bf8e-f9e645e8b799,19/25/1/1/1/0010,Ja'Oji Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Kumbotso"", ""settlement"": ""Guringawa""}",hfr:15b86aca-ba72-459c-bf8e-f9e645e8b799,15b86aca-ba72-459c-bf8e-f9e645e8b799,Jaoji Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Kumbotso"", ""settlement"": ""KN2505""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.985, ""name_tftoken"": 0.214, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0c94c2ad71cfb401b4c171962e15758c54f8dd1b8d532e6e1d6990f26549ef7e,review,0.5611,0.806,1.8,grid3:e823f8ae-2280-4b7b-a149-d1689512534d,19/02/1/1/1/0019,Jigar Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Albasu"", ""settlement"": ""Albasu""}",hfr:ce54c137-3843-44db-a0f1-e1f5cf6c2a9b,ce54c137-3843-44db-a0f1-e1f5cf6c2a9b,Yawurma Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Albasu"", ""settlement"": ""KN0210""}","{""admin_path"": 0.6, ""distance_km"": 1.8, ""geo"": 0.549, ""name"": 0.806, ""name_tftoken"": 0.303, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0cd1c37c0df5454a365e7c3274aaf50af55367404224f99a7e3419988c0bc962,review,0.5596,0.884,41.85,grid3:23eb6da2-4c24-49f5-ba2a-926f369c8db2,,Nassarawa Health Center,"{""admin1"": ""Kano"", ""admin2"": ""Bagwai"", ""settlement"": ""Kwajale""}",hfr:e3a7feb3-3190-49ce-a613-641fa6e9d56f,e3a7feb3-3190-49ce-a613-641fa6e9d56f,Nassarawa Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Tsanyawa"", ""settlement"": ""KN4004""}","{""admin_path"": 0.3, ""distance_km"": 41.85, ""geo"": 0.0, ""geo_conflict_km"": 41.85, ""name"": 0.928, ""name_tftoken"": 0.601, ""name_type"": 0.0}",,,,
Kano,xwd:sha256:0cd4a416594ca91c0f00d501c3e6345ce6b006917dce972da0dafee199674bed,review,0.6835,0.823,0.0,grid3:13aa2649-7121-4b48-88fa-03af81e3da6c,19/25/1/1/1/0015,Naibawa Health Clinic,"{""admin1"": ""Kano"", ""admin2"": ""Kumbotso"", ""settlement"": ""Na'Ibawa""}",hfr:13aa2649-7121-4b48-88fa-03af81e3da6c,13aa2649-7121-4b48-88fa-03af81e3da6c,Naibawa Gabas Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Kumbotso"", ""settlement"": ""KN2510""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.823, ""name_tftoken"": 0.428, ""name_type"": 0.0}",,,,
Kano,xwd:sha256:0cef4ad1444bbf83a22e5acb329266a5253ecf939c7f418621bc0fa26ceec0d7,review,0.5501,0.876,69.31,grid3:9c849e3f-37e1-4f30-af7a-354e408a7865,19/35/1/1/1/0010,Goron Dutse (Snn) Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Shanono"", ""settlement"": ""Gwaron Dutse""}",hfr:0e14701b-7af2-4f35-ae28-3c5b9f5f5f21,0e14701b-7af2-4f35-ae28-3c5b9f5f5f21,Goron Dutse Community Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Gwale"", ""settlement"": ""KN1805""}","{""admin_path"": 0.3, ""distance_km"": 69.31, ""geo"": 0.0, ""geo_conflict_km"": 69.31, ""name"": 0.876, ""name_tftoken"": 0.624, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0cf818ecf37c98939359f4719fdf13f7a085daaab220d104f57cd726e82ecf61,review,0.5508,0.806,1.83,grid3:7ed2e218-2aac-4b88-b5e1-89a0a8028c6d,19/28/1/1/1/0013,Kanwa Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Kabo"", ""settlement"": ""Kanwa Kabo""}",hfr:718036b1-4859-4052-b745-38f2870a1d55,718036b1-4859-4052-b745-38f2870a1d55,Baskore Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Kabo"", ""settlement"": ""KN2009""}","{""admin_path"": 0.6, ""distance_km"": 1.83, ""geo"": 0.543, ""name"": 0.806, ""name_tftoken"": 0.275, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0d103ee61f5974ed1eab6e8f192e0b43c90b7c02486f7d95cd6f218c603ec190,review,0.5608,0.807,1.68,grid3:1f4d4654-3742-4046-9a9a-41f8faaaeba0,19/25/1/1/1/0024,Yanhamar Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Kumbotso"", ""settlement"": ""Kureken Sani""}",hfr:106ef8d1-1d59-4834-a654-aa0409ded6d6,106ef8d1-1d59-4834-a654-aa0409ded6d6,Zara Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Kumbotso"", ""settlement"": ""KN2509""}","{""admin_path"": 0.6, ""distance_km"": 1.68, ""geo"": 0.572, ""name"": 0.807, ""name_tftoken"": 0.29, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0d121c3aee0c45667d4f13f70d56ece6d42f5360b0ebf1e0c1ee0d33df3e0b4f,review,0.6069,0.903,28.85,grid3:80e0ee82-7293-4ede-ad34-89dd5b2ba553,19/18/1/1/1/0002,Babawa Primary Health Center,"{""admin1"": ""Kano"", ""admin2"": ""Gezawa"", ""settlement"": ""Babawa""}",hfr:90fee38a-7aa6-46fb-87d8-f2b68cc9f024,90fee38a-7aa6-46fb-87d8-f2b68cc9f024,Babawa Model Primary Health Center,"{""admin1"": ""Kano"", ""admin2"": ""Dawakin Tofa"", ""settlement"": ""KN1001""}","{""admin_path"": 0.3, ""distance_km"": 28.85, ""geo"": 0.0, ""geo_conflict_km"": 28.85, ""name"": 0.903, ""name_tftoken"": 0.767, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0d2451a0a05172e4451dfa2615fbd85a2ed18c0d10e2f6b02cfaaa5bcbee8f6a,review,0.5533,0.79,1.72,grid3:5b5a2434-426c-4534-be39-09a5e774f904,19/39/1/1/1/0019,Yanoko Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Tofa"", ""settlement"": ""Yanoko""}",hfr:edf7d84c-f3aa-4b33-a4af-01c99624fafd,edf7d84c-f3aa-4b33-a4af-01c99624fafd,Doka Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Tofa"", ""settlement"": ""KN3910""}","{""admin_path"": 0.6, ""distance_km"": 1.72, ""geo"": 0.563, ""name"": 0.79, ""name_tftoken"": 0.288, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0d54422ee9a03a12641a769ea4b32983f04d152e17f90a8a477eaec8b2024841,review,0.5853,0.938,25.27,grid3:ee1e3c5e-617c-4b07-9344-401236535850,,Kunya Primary Health Care,"{""admin1"": ""Kano"", ""admin2"": ""Dawakin Tofa"", ""settlement"": ""Marke""}",hfr:cd54c56a-cc92-43c8-9e40-ae158c14b4ef,cd54c56a-cc92-43c8-9e40-ae158c14b4ef,Kunya Primary Health Center,"{""admin1"": ""Kano"", ""admin2"": ""Minjibir"", ""settlement"": ""KN3004""}","{""admin_path"": 0.3, ""distance_km"": 25.27, ""geo"": 0.0, ""geo_conflict_km"": 25.27, ""name"": 0.961, ""name_tftoken"": 0.644}",,,,
