osm_id,osm_type,name,operator,lat,lon,wikidata
156497004,way,Springdene Nursing Home,,51.63444,-0.16795,
164458516,way,Edgware Community Hospital,,51.606484,-0.270967,Q30293035
166385829,way,Bowes Road Clinic,,51.615494,-0.131082,
170732745,way,St Bartholomew's Hospital,,51.517531,-0.100077,Q164946
186977094,way,The Old Red Hill Clinic (Barnet Adolescent Services),,51.61142,-0.27727,
193432693,way,The Broadway Health Centre,,51.511139,-0.379344,
208072187,way,Millway Medical Practice,,51.615535,-0.244009,
222183797,way,St Bernards Hospital (West London Mental Health NHS Trust),,51.506364,-0.347189,
229290055,way,Cygnet Hospital,,51.567208,-0.337796,
315305511,way,Cygnet Hospital Ealing,,51.521155,-0.297186,
352120259,way,Harefield Hospital,Guy's and St Thomas' NHS Foundation Trust,51.607114,-0.485204,Q5656797
402012627,way,Moorfields Eye Hospital (City Road campus),,51.527263,-0.090215,Q1946861
420411264,way,Fitzrovia Hospital,,51.523477,-0.140432,
440410278,way,University College Hospital,National Health Service (NHS),51.52487,-0.136443,Q3551343
444440630,way,Weymouth Street Hospital,Phoenix Hospital Group,51.520236,-0.150541,Q20714162
492083208,way,Highgate Mental Health Centre,Camden and Islington NHS Foundation Trust,51.566736,-0.142588,
504129695,way,BMI Hendon Hospital,,51.593717,-0.22441,
514349576,way,Nuffield Health Highgate Hospital,Nuffield Health,51.57665,-0.157055,Q28404470
548533106,way,Great Ormond Street Hospital for Children,Great Ormond Street Hospital for Children NHS Foundation Trust,51.522474,-0.120403,Q1349705
660411791,way,The Portland Hospital Consulting Suite,,51.522804,-0.144213,
669882382,way,Privé Clinics,,51.518668,-0.146477,
670848153,way,Queen Anne Street Medical Centre,,51.51821,-0.147099,
672219101,way,Nuffield Health,Nuffield Health,51.517724,-0.148281,
688880323,way,Nightingale Hospital,,51.521814,-0.165221,Q60746347
699934188,way,Hospital of St John and St Elizabeth,,51.533269,-0.174979,Q5908758
818779914,way,Royal Free Hospital,Royal Free London,51.55302,-0.165458,Q7374196
821710065,way,Cromwell Hospital,BUPA,51.49522,-0.191141,Q5187669
833201881,way,University College Hospital at Westmoreland Street,University College London Hospitals NHS Foundation Trust,51.519606,-0.149661,Q7739155
912368818,way,Queen Charlotte's & Chelsea Hospital,,51.516385,-0.237341,Q7270242
926396835,way,Noah's Ark Children's Hospice,,51.658121,-0.214871,
967775040,way,Spire Bushey Hospital,Spire Healthcare Limited,51.637438,-0.331636,
988525443,way,The Doctors Laboratory,The Doctors Laboratory Limited,51.528029,-0.128041,
991369947,way,Potters Bar Clinic,Elysium Healthcare,51.686549,-0.177779,Q107103988
1043104661,way,The Cavell Hospital,,51.659073,-0.101947,
1113340300,way,Royal National ENT and Eastman Dental Hospitals,University College Hospitals,51.522549,-0.134531,
1114959175,way,Macmillan Cancer Centre,University College Hospitals,51.523117,-0.135201,
1120163062,way,,,51.521164,-0.297148,
1390491265,way,National Hospital for Neurology and Neurosurgery,NHS,51.522192,-0.122473,Q3336892
1390491266,way,Royal London Hospital for Integrated Medicine,,51.52177,-0.121475,Q7374417
265667686,node,Cheshunt Community Hospital,,51.69925,-0.033211,
2671414583,node,Suttons Manor Hospital,Priory Group,51.660966,0.18444,
13262025383,node,"Neonatal Unit, L1 Z2",,51.522985,0.036765,
13262504860,node,A&E Department,,51.52298,0.03436,
13262504861,node,Rainbow Ward,,51.523304,0.035068,
13436406358,node,Moorfields at Hoxton,Moorfields Eye Hospital,51.534681,-0.089875,
4271138,way,North Middlesex University Hospital,,51.613284,-0.073543,Q7056104
24437660,way,St Michael's Community Hospital,,51.662016,-0.083919,
32612277,way,Newham University Hospital,Barts Health NHS Trust,51.521674,0.03664,Q7018154
41378470,way,Whipps Cross University Hospital,,51.577515,0.002042,Q7993761
43514739,way,Homerton University Hospital,,51.550645,-0.045508,Q19654384
120359076,way,Grays Court Community Hospital,,51.539279,0.158058,
122850042,way,Brentwood Community Hospital,,51.623341,0.316027,
130345641,way,Queens Hospital,"Barking, Havering and Redbridge University Hospitals NHS Trust",51.568723,0.181018,Q7270013
147241472,way,Hartswood Hospital,,51.600424,0.293018,
170991726,way,Nuffield Hospital,,51.623346,0.312908,
184154674,way,Mile End Hospital,Barts Health NHS Trust,51.525053,-0.04217,Q6851069
197910029,way,Victoria Hospital,,51.583815,0.188002,
263728248,way,Coborn Centre for Adolescent Mental Health,,51.519681,0.038392,
275414908,way,,NHS,51.583751,0.029039,
322546930,way,Spire London East,,51.587242,0.043649,
326277354,way,John Howard Centre,East London NHS Foundation Trust,51.548032,-0.039138,
362325982,way,The Holly Private Hospital,,51.624328,0.032177,
413948227,way,London Bridge Hospital,,51.506132,-0.08604,Q6669893
448178927,way,Barking Community Hospital,,51.53879,0.098818,Q30292861
497718283,way,Mildmay Mission Hospital,,51.527731,-0.07558,Q124749523
640495338,way,Royal London Hospital,Barts Health NHS Trust,51.517447,-0.059924,Q7374421
707322577,way,Guy's Hospital,Guy's and St Thomas' NHS Foundation Trust,51.503235,-0.08683,Q777039
779654814,way,,,51.626841,0.294373,
780482089,way,Goodmayes Hospital,North East London NHS Foundation Trust,51.577393,0.111232,Q30293120
863401259,way,St. George's Health & Wellbeing Hub,NHS,51.5487,0.219036,
868274062,way,Cygnet Hospital Beckton,,51.513611,0.064702,
902050280,way,King George Hospital,,51.580253,0.111264,Q6411611
1038016075,way,White Lodge Medical Practice,,51.658502,-0.087794,
1306349223,way,Jane Atkinson Health and Wellbeing Centre,North East London NHS Foundation Trust,51.590887,-0.007005,
1432555189,way,The London Independent Hospital,Circle Health Group,51.520213,-0.047046,
