score,distance_km,osm_name,grid3_name,decision_id
0.8000,43.65,Kunkurawa Health Post,Kunkurawa Health Post,xwd:sha256:9a1c7816af60c182b5e7487bd41da556d3a911179d8831a9b2cff7d4a065d6a2
0.8000,51.37,Nasarawa Health Post,Nasarawa Health Post,xwd:sha256:cb6062d1319d35b225413c55983578391d35027ba1a6a43e714732f6ba91279c
0.8000,143.02,Yan Bawa Health Post,Yan Bawa Health Post,xwd:sha256:638f7e184ce75a31675c9800e504996868ecff20a18f5f228ef66a8642182e82
0.8000,95.05,Kurna Health Post,Kurna Health Post,xwd:sha256:6b11456180d0ba3e9a03844da179c91a035d41849fa7ceffc34b316b7d9a2b3f
0.8000,35.58,Yumbu Health Post,Yumbu Health Post,xwd:sha256:8c97add0d4d51ee0aa121b49e45cf825177a8e4c5454b40320bee4cb5f574d34
0.8000,34.38,Shana Health Post,Shana Health Post,xwd:sha256:58ca25bf7b2780c8a7e9e574fd9b228a9ceb989feab739d7722499a5212d81ad
0.8000,75.85,Koya Health Post,Koya Health Post,xwd:sha256:159ff14c8bfd67f667257f245c9cd91a424b7e0606921ffd084df19a9150456f
0.8000,40.27,Badawa Health Post,Badawa Health Post,xwd:sha256:957a0acc5f42cb972ad7c4fc7201aefe923a70f8c7ec318eede03a33b7123158
0.8000,96.23,Yama Health Post,Yama Health Post,xwd:sha256:a20b5e50ec3ddf192cbd12a6c1afac63643ca41dacb70f97805124f763c51a36
0.8000,39.34,Tarauni Health Post,Tarauni Health Post,xwd:sha256:7d2e5af3ddda14e4cdddd491f32d45af1ebe6775ed5d5cb246c87831625c38a1
0.8000,39.34,Dadin Duniya Health Post,Dadin Duniya Health Post,xwd:sha256:a3aea25c72c9af80799a2373188eeccf4d4ddc874f268401ec26c5dc3c6c721e
0.8000,54.14,Kawo Health Post,Kawo Health Post,xwd:sha256:393af3503344060e9b4e8c0f4dec2037591889513cbb128a7f7a510b3c9de71f
0.8000,36.66,Kawo Health Post,Kawo Health Post,xwd:sha256:d5f22e6c5a3d5309feb24cf165aa485d96f3f682380b42bb826086ca632d5c3f
0.8000,38.29,Santsi Health Post,Santsi Health Post,xwd:sha256:69d44d679bbcf72e1836d681547fe22b36aee003039259e65e8f7788317a0907
0.8000,74.47,Chikawa Health Post,Chikawa Health Post,xwd:sha256:2d4aa6a16dba759c24b9e1b7bff4ce06f4788aaad5474b50d1d7889653141c9c
0.8000,39.32,Chikawa Health Post,Chikawa Health Post,xwd:sha256:e4afbf76da70fc15e025d42956488ad6ef88a67f62638ae2973a6b896d3a6418
0.8000,39.93,Tankarau Health Post,Tankarau Health Post,xwd:sha256:e25e6dd3fa7d24fee5cfe868ca931432ceaa94f569398721c15a315425eb4148
0.8000,37.92,Gumawa Health Post,Gumawa Health Post,xwd:sha256:d3ebd4a49d18fa9a32c94cfff04937e74f6c63811524aeacdb794dcd272671ef
0.8000,30.10,Zango Health Post,Zango Health Post,xwd:sha256:d296ed38c98383f82539f7fac65b8b5027ec14f90eec7d8b3e960ded09748ae8
0.8000,29.53,Zango Health Post,Zango Health Post,xwd:sha256:081184eb708b91541a00b8cc39b9f48a268cd545eb350574537da10c0f0b0a1a
0.8000,90.23,Gezawa Health Post,Gezawa Health Post,xwd:sha256:affa67b5ad5eca0e6bc80eba5ce8d87905fd77643e89ca792a037fd351b1453e
0.8000,32.96,Gezawa Health Post,Gezawa Health Post,xwd:sha256:cf4876b842f1411c640ea984af6d0a85433afad7f0e793ea326d54b91e5f7b00
0.8000,30.13,Wasai Health Post,Wasai Health Post,xwd:sha256:3bbe9a47bc8dfe856ceb29c5a33d5b5d5862be3a709db776fa9789b5b666df08
0.8000,30.64,Daradau Health Post,Daradau Health Post,xwd:sha256:a35e0b074c4b199a2692f0d58a8e2e327e893085fa73aa65565e973f7d117807
0.8000,31.30,Tsalle Health Post,Tsalle Health Post,xwd:sha256:5cfe6d799a4deafe1eb21f099e3b5049a1033f3b7b3344007c8d6c7e44b079a4
0.8000,85.52,Dalal Health Post,Dalal Health Post,xwd:sha256:c2831a718b100e305a01bcfdadb6c92ca6e70b383d9bdd308c82da66d48ea8df
0.8000,61.90,Katsinawa Health Post,Katsinawa Health Post,xwd:sha256:1c67a1162cf73fc33ac3a7df70d84bb2257a339d481f2ccfb385fe44cc4a5505
