OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
36745,a72f0106-6e24-49a4-b7d5-9f79bb443cee,,,Nigeria,NGA,Bauchi,Warji,0,Ranga A,0,Zurgwai Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,11.1829111789,9.74951683689,GRID3_EHEALTH,2024-11-11,9.74951683700004,11.182911179
36746,42a9a744-c4c6-4a04-aff5-e60d030af9b1,,,Nigeria,NGA,Bauchi,Bauchi,0,Makama A,0,Federal Lowcost Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,10.2895144,9.8319546,GRID3_EHEALTH,2024-11-11,9.83195460000007,10.2895144
36747,ccea57fe-275c-4a90-9c5c-645f8b3238ae,,,Nigeria,NGA,Bauchi,Alkaleri,0,Gwana,0,Gwana Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,9.64906511999,10.7507380572,GRID3_EHEALTH,2024-11-11,10.750738057,9.64906512000005
36748,1cd702d8-25dc-4bcd-8da7-5bdcb98b4e70,,,Nigeria,NGA,Bauchi,Toro,0,Palama,0,Dorong Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,9.9157786,9.2323104,GRID3_EHEALTH,2024-11-11,9.23231040000007,9.91577860000007
36749,94543868-0e8a-4e13-87cd-273748f6efdc,,,Nigeria,NGA,Bauchi,Bauchi,0,Dan Iya,0,Wando Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,10.3319899664,9.83333701042,GRID3_EHEALTH,2024-11-11,9.83333701000004,10.331989966
36750,47100c47-9806-4263-9f3b-e7b1b5d6525c,,,Nigeria,NGA,Bauchi,Ningi,0,Ningi East,0,Dana Gari Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,11.0876623,9.5729813,GRID3_EHEALTH,2024-11-11,9.57298130000004,11.0876623
36751,45488091-736f-4e71-9411-08c98fe2066b,,,Nigeria,NGA,Ebonyi,Izzi,0,Iboko,0,Charity Maternity,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,6.3981057978,8.22626902836,GRID3_EHEALTH,2024-11-11,8.22626902800005,6.39810579800007
36752,e0070145-1ae7-43ec-a45e-fab96c81772a,,,Nigeria,NGA,Sokoto,Gwadabawa,0,Gwadabawa,0,Kwankwanbilo Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.3685409305,5.25002806224,GRID3_EHEALTH,2024-11-11,5.25002806200007,13.3685409300001
36753,9dc7b259-9af0-40d5-88d1-3d8ed1a0e63c,,,Nigeria,NGA,Sokoto,Kware,0,More Gidan Rugga,0,Ragu Health Clinic,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,13.0940547266,5.27480851762,GRID3_EHEALTH,2024-11-11,5.27480851800004,13.0940547270001
36754,c50ec95b-cf46-499a-bb0e-9332b62cbc3e,,,Nigeria,NGA,Sokoto,Sokoto North,0,Magajin Gari B,0,Abubakar Gadanga Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,13.0688803,5.2284619,GRID3_EHEALTH,2024-11-11,5.22846190000007,13.0688803
36755,5c7d5e5e-aebe-4fe8-a498-eded7a77fa3c,,,Nigeria,NGA,Sokoto,Illela,0,Illela,0,Gidan Hamma Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.7282467,5.2974361,GRID3_EHEALTH,2024-11-11,5.29743610000003,13.7282467000001
36756,ec495992-0fb1-4847-9802-f791d8937d88,,,Nigeria,NGA,Sokoto,Tambuwal,0,Romon Sarki,0,Iloji Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,12.22549167,4.600825,GRID3_EHEALTH,2024-11-11,4.60082500000004,12.2254916700001
36757,e95c35a2-66a0-4f25-a572-0874bc6967f0,,,Nigeria,NGA,Sokoto,Isa,0,Tidibali,0,Girnashi Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.1950027236,6.17286126867,GRID3_EHEALTH,2024-11-11,6.17286126900007,13.1950027240001
36758,b3473f2b-50a9-47e8-b7b8-947268933086,,,Nigeria,NGA,Sokoto,Wurno,0,Marafa (Wurno Lga),0,Mammande Upgraded Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.2863056,5.4224627,GRID3_EHEALTH,2024-11-11,5.42246270000004,13.2863056
36759,d9713b79-d87b-4664-9b72-683b3cdf1407,,,Nigeria,NGA,Sokoto,Sokoto South,0,Sarkin Zamfara B,0,Turaki Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,13.0490591754,5.235169373,GRID3_EHEALTH,2024-11-11,5.23516937300008,13.049059175
36760,d03fabb5-c16a-41f6-8565-68d61b6461b2,,,Nigeria,NGA,Sokoto,Silame,0,Silame,0,Gaukai Primary Health Care,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,13.038785,4.843985,GRID3_EHEALTH,2024-11-11,4.84398500000003,13.0387850000001
