OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
1,9c2b58dd-1e99-49b9-970e-eabce1c7dd10,57132712,08/07/1/1/1/0030,Nigeria,NGA,Borno,Damboa,0,Gumsuri,0,Gumsuri Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.05984,12.80855,NHFR_2024,2024-11-11,12.80855,11.0598400000001
2,5a3864b5-d66b-4683-90cd-9c76af393450,42800186,08/02/1/1/1/0044,Nigeria,NGA,Borno,Askira/Uba,0,Uba,0,Uba Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.4589969996,13.2138180004,GRID3_EHEALTH,2024-11-11,13.2138180000001,10.4589970000001
3,cfe845eb-9f71-4b99-9603-d2f389a73ba0,26934297,08/02/1/1/1/0034,Nigeria,NGA,Borno,Askira/Uba,0,Ngulde,0,Ngulde Comprehensive Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.6323430004,12.5458080005,GRID3_EHEALTH,2024-11-11,12.545808,10.632343
4,0fcbdf4a-8ea2-4df9-9167-4c9f1377f27c,43109689,08/06/1/1/1/0021,Nigeria,NGA,Borno,Chibok,0,Shikarkir,0,Shikarkir Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.8027800002,12.7768000004,GRID3_EHEALTH,2024-11-11,12.7768,10.80278
5,12c47bd1-535e-4de7-9cad-ad34f43b1965,28489340,08/06/1/1/1/0025,Nigeria,NGA,Borno,Chibok,0,Kuburmbula,0,Mifa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,10.8886899996,12.9037699997,GRID3_EHEALTH,2024-11-11,12.9037700000001,10.8886900000001
6,9606fce0-b208-4d77-a0b8-3ba6767cc7eb,49239747,08/20/1/1/1/0008,Nigeria,NGA,Borno,Magumeri,0,Gajigana,0,Gajigana Model Primary Health Care Center,NHFR_2024,Public,Unknown,Primary,Health Post,12.2498950004,13.1042699999,GRID3_EHEALTH,2024-11-11,13.10427,12.249895
7,98b2214a-1b02-4151-9209-c91954e9ebe1,41316065,08/19/1/1/1/0022,Nigeria,NGA,Borno,Mafa,0,Loskori,0,Nguwom Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.8844400001,13.3453799998,GRID3_EHEALTH,2024-11-11,13.34538,11.88444
8,491fd10b-a3d4-4d0f-9450-e544848435f7,13865119,08/18/1/1/1/0013,Nigeria,NGA,Borno,Kwaya Kusar,0,Kurbagayi,0,Kurbagayi Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.4733740797,11.7770045664,GRID3_EHEALTH,2024-11-11,11.7770045660001,10.47337408
9,461e2781-bade-4e8c-8928-7f7920c9564d,63887155,29/22/1/1/1/0002,Nigeria,NGA,Osun,Isokan,0,Oranran,1,Abidemi Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.274902344,4.1953125,GRID3_EHEALTH,2024-11-11,4.19531250000006,7.27490234400005
10,8e662b33-0bcb-4e75-88aa-214437bd7ba3,46521839,13/04/1/1/1/0001,Nigeria,NGA,Ekiti,Ekiti South West,0,Odo Igbara,1,Igbara Odo Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.50217,5.065215,GRID3_EHEALTH,2024-11-11,5.06521500000002,7.50217000000004
11,7a7a9e73-3d57-473a-962c-9c93625019b6,69733393,08/24/1/1/1/0030,Nigeria,NGA,Borno,Monguno,0,Monguno,0,Water Board Aah Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.68298,13.61403,GRID3_EHEALTH,2024-11-11,13.6140300000001,12.68298
12,1789628f-72e7-42e5-a916-329cd857dc76,64397706,08/24/1/1/1/0028,Nigeria,NGA,Borno,Monguno,0,Monguno,0,Nrc Idps Camp Aah Clinic,NHFR_2024,Public,Local Government,Primary,Unknown,12.67774,13.62142,GRID3_EHEALTH,2024-11-11,13.6214200000001,12.67774
13,d8c60b8a-57a8-4671-8bc2-5910c60521c2,29858613,16/08/1/1/1/0012,Nigeria,NGA,Imo,Ikeduru,1,Iho,1,Iho Basic Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,5.5818558,7.10398666,GRID3_EHEALTH,2024-11-11,7.10398666000003,5.58185580000003
14,7bec5ac2-6386-4dcc-8ab5-b8a0abcfae0b,26968480,08/15/1/2/1/0001,Nigeria,NGA,Borno,Kala/Balge,0,Rann,0,Rann Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.2681856,14.4659828,GRID3_EHEALTH,2024-11-11,14.4659828000001,12.2681856
15,10cd9c29-d6b8-4974-aa41-656f82911f5f,46194825,08/25/1/1/1/0007,Nigeria,NGA,Borno,Ngala,0,Gamboru C,1,Gamboru Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.37014,14.21058,NHFR_2024,2024-11-11,14.21058,12.37014
16,ff71a9a1-5fa3-49c8-bb9b-e486e11e8a1e,29570644,08/21/1/1/1/0078,Nigeria,NGA,Borno,Maiduguri,0,Bolori 2,0,Baga Road Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Health Post,11.87028,13.12194,GRID3_EHEALTH,2024-11-11,13.1219400000001,11.87028
17,a8cf813f-fd11-4673-bf03-6a0d70274aba,58668453,08/11/1/1/1/0019,Nigeria,NGA,Borno,Gwoza,0,Hambagda Limankara Jaje,1,Limankara Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.10464,13.81496,GRID3_EHEALTH,2024-11-11,13.81496,11.1046400000001
18,40ba73c8-e59d-470e-adad-dc8d36011ee3,25407146,08/11/1/1/1/0030,Nigeria,NGA,Borno,Gwoza,0,Pulka Bokko,1,Pulka Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.98756,13.66336,GRID3_EHEALTH,2024-11-11,13.6633600000001,10.98756
19,f7eb6759-d1a1-4d24-8768-6129dfff050e,85030277,08/11/1/1/1/0042,Nigeria,NGA,Borno,Gwoza,0,Ngoshe,0,Ngoshe Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.13273873,13.79227709,GRID3_EHEALTH,2024-11-11,13.79227709,11.13273873
20,a1d2ea26-e62f-4c73-9154-44a4c9f70639,26314763,08/21/1/1/1/0031,Nigeria,NGA,Borno,Maiduguri,0,Shehuri North,0,Shehu Palace Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.8484,13.1609,GRID3_EHEALTH,2024-11-11,13.1609,11.8484
21,7f71b625-838c-41ab-b3d9-7c3268df08a3,58360502,08/03/1/2/2/0001,Nigeria,NGA,Borno,Bama,0,Kasugula,0,Naf Emergency Hospital,NHFR_2024,Public,Military & Paramilitary formations,Secondary,Unknown,11.529405,13.688382,GRID3_EHEALTH,2024-11-11,13.688382,11.5294050000001
22,d4496c43-a2fa-4d00-8286-fa467ccc58de,48030134,08/21/1/1/1/0023,Nigeria,NGA,Borno,Maiduguri,0,Bolori 2,0,Zajeri Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.8725,13.12722,GRID3_EHEALTH,2024-11-11,13.12722,11.8725000000001
23,a999190d-baab-4f7c-a488-8f618c5c4df0,53956564,08/02/1/1/1/0043,Nigeria,NGA,Borno,Askira/Uba,0,Hussara Tampul,0,Tampul Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,10.5775450001,13.2230459996,GRID3_EHEALTH,2024-11-11,13.2230460000001,10.577545
24,8f888790-9e96-4306-9ef7-7b7c93c11519,78257219,08/06/1/3/1/0001,Nigeria,NGA,Borno,Chibok,0,Kautikari,0,Kautikari Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.81868,12.9840850003,GRID3_EHEALTH,2024-11-11,12.9840850000001,10.81868
25,96f61084-6a5a-47ab-9532-7ad204cb006e,78832845,02/07/1/1/1/0089,Nigeria,NGA,Borno,Hong,1,Uba,0,Uba B Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.45140167,13.21774667,GRID3_EHEALTH,2024-11-11,13.2177466700001,10.4514016700001
26,62e22dec-54ba-4dcd-8e27-1e79a8b6f8d9,32255587,08/21/1/3/1/0001,Nigeria,NGA,Borno,Maiduguri,0,Bolori 1,0,Maiduguri Federal Neuro Psychiatric Hospital,NHFR_2024,Public,Federal Government,Tertiary,Primary Health Center,11.8572033217,13.1365938582,GRID3_EHEALTH,2024-11-11,13.136593858,11.857203322
27,f8f60000-dabd-42d5-923c-f307affd7a9e,64764534,08/03/1/1/1/0005,Nigeria,NGA,Borno,Bama,0,Shehuri,1,Bama Maternity and  Child Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.5049000002,13.6719899997,GRID3_EHEALTH,2024-11-11,13.6719900000001,11.5049000000001
28,a0652605-3ad7-49c0-82cb-148f0199ce63,54930159,22/05/1/1/1/0059,Nigeria,NGA,Kogi,Dekina,0,Abocho,0,Abocho Cottage Hospital,NHFR_2024,Public,State Government,Secondary,Primary Health Center,7.573120117,6.999084473,GRID3_EHEALTH,2024-11-11,6.99908447300004,7.57312011700003
29,924fe051-6cd5-4d7c-b990-43f5475b3f32,60116349,08/16/1/1/1/0013,Nigeria,NGA,Borno,Konduga,0,Konduga,1,Boarding Primary School Idp Camp Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.665381,13.396635,GRID3_EHEALTH,2024-11-11,13.3966350000001,11.665381
30,f99c4032-9f96-46cd-b14b-49a51d17a9aa,51390339,08/07/1/1/1/0009,Nigeria,NGA,Borno,Damboa,0,Damboa,0,Damboa Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.1613,12.7577,GRID3_EHEALTH,2024-11-11,12.7577000000001,11.1613
31,1c05cc87-b1e8-43ac-9ca0-d77eae11e963,65732404,13/01/1/2/2/0005,Nigeria,NGA,Ekiti,Ado Ekiti,0,Okesa,1,Adetoyin Venture Hospital,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,7.63050166667,5.21005,GRID3_EHEALTH,2024-11-11,5.21005000000002,7.63050166700003
32,2f2b5b1c-496f-468e-b07c-21ee55888e44,54665472,03/28/1/1/1/0004,Nigeria,NGA,Akwa Ibom,Ukanafun,0,Ukanafun 6,1,Afaha Ikot Inyang Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,4.967056667,7.718501667,GRID3_EHEALTH,2024-11-11,7.71850166700006,4.96705666700007
33,b0b9a410-d774-4ac0-a900-08fc3370a87f,54341897,08/13/1/1/1/0038,Nigeria,NGA,Borno,Jere,0,Dusuman,0,Muna Koreri Alima Clinic,NHFR_2024,Public,Local Government,Primary,Health Post,11.866345,13.24527,GRID3_EHEALTH,2024-11-11,13.2452700000001,11.866345
34,cab63d5c-8aa1-42ce-a30a-66f97f5ffb32,54862116,28/13/1/1/1/0022,Nigeria,NGA,Ondo,Odigbo,0,Ajue,0,Oro Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.89998,4.85358,GRID3_EHEALTH,2024-11-11,4.85358000000002,6.89998000000003
35,99456f2c-77f5-423b-a6ff-9be8c3188592,18111100,08/24/1/1/1/0011,Nigeria,NGA,Borno,Monguno,0,Monguno,0,Monguno Support Programme Icrc Family Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.66683,13.61814,GRID3_EHEALTH,2024-11-11,13.61814,12.6668300000001
36,a8d518ce-fd61-4c2f-b145-d40604f74c05,51201113,13/11/1/1/2/0004,Nigeria,NGA,Ekiti,Ikole,0,Odo-Ayedun,0,Bisi Odo Ayedun Maternity Clinic,NHFR_2024,Private,For Profit,Primary,Primary Health Center,7.81667,5.58752,GRID3_EHEALTH,2024-11-11,5.58752000000004,7.81667000000004
37,f65ae589-574c-4ea0-994c-6a87a77163db,63422523,08/21/1/1/1/0011,Nigeria,NGA,Borno,Maiduguri,0,Limanti,1,Gamboru Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.84557,13.16676666,GRID3_EHEALTH,2024-11-11,13.1667666600001,11.8455700000001
38,a826a0d0-7f14-47fd-833a-264dbdfac012,14766352,08/16/1/1/1/0029,Nigeria,NGA,Borno,Konduga,0,Konduga,0,Konduga Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.65588379,13.41589355,GRID3_EHEALTH,2024-11-11,13.41589355,11.6558837900001
39,c4ef3096-8f3f-4f97-b1ab-3c6a48988579,25145571,08/21/1/1/1/0013,Nigeria,NGA,Borno,Maiduguri,0,Gwange 3,0,Gwange Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.8275,13.1675,GRID3_EHEALTH,2024-11-11,13.1675000000001,11.8275
40,c204ea57-51f1-4d7b-90ff-43032790a28b,49627713,08/03/1/2/1/0046,Nigeria,NGA,Borno,Bama,0,Kasugula,0,Bama General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,11.530622,13.688927,GRID3_EHEALTH,2024-11-11,13.688927,11.5306220000001
41,2877c43e-dd96-418a-a9a3-4d2aca086b27,43582487,08/20/1/1/1/0011,Nigeria,NGA,Borno,Magumeri,0,Kareram Lawanti,1,Kareram A Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.15589,12.80756,GRID3_EHEALTH,2024-11-11,12.80756,12.1558900000001
42,e8d2b0a2-449d-4c82-9f3e-42c37f054755,36585675,08/06/1/1/1/0008,Nigeria,NGA,Borno,Chibok,0,Whuntaku Chibok,0,Hirpaya Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.86755833,12.78967833,GRID3_EHEALTH,2024-11-11,12.7896783300001,10.8675583300001
43,4529d739-098b-448c-be7d-16bdcd928593,65405761,08/05/1/1/2/0004,Nigeria,NGA,Borno,Biu,0,Dugja,0,Hirku Health Clinic,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,10.62390137,12.18688965,GRID3_EHEALTH,2024-11-11,12.1868896500001,10.6239013700001
44,7946c0c4-3b45-4eef-b72b-52d871e4d029,20958232,08/21/1/1/1/0019,Nigeria,NGA,Borno,Jere,1,Dusuman,1,Jere Police Health Clinic,NHFR_2024,Public,Federal Government,Secondary,Unknown,11.8245529544,13.1261688513,GRID3_EHEALTH,2024-11-11,13.126168851,11.8245529540001
45,baca4c05-b021-433d-bbf3-54ac8cfb40e8,66335268,08/02/1/1/1/0051,Nigeria,NGA,Borno,Askira/Uba,0,Askira East,0,Askira Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.649427,12.9108040005,GRID3_EHEALTH,2024-11-11,12.910804,10.6494270000001
46,445f9093-43f7-4c54-bd37-8ad51dfb8c49,15142904,08/06/1/1/1/0012,Nigeria,NGA,Borno,Chibok,0,Kuburmbula,0,Kuburmbula Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.8807300001,12.9206100001,GRID3_EHEALTH,2024-11-11,12.9206100000001,10.88073
47,f6898218-e51d-4819-a9ca-3f4256399f7a,66489113,08/08/1/1/1/0008,Nigeria,NGA,Borno,Dikwa,0,Gajibo,0,Gajibo Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.1124700001,13.9885999998,GRID3_EHEALTH,2024-11-11,13.9886000000001,12.11247
48,cd0bb5b7-1ced-4037-a947-dac497bc3540,12886171,08/05/1/1/1/0006,Nigeria,NGA,Borno,Biu,0,Silumthla,0,Biu Town Health Post,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.6113030001,12.1959449998,GRID3_EHEALTH,2024-11-11,12.1959450000001,10.611303
49,147edf6c-dd3d-4a98-ae91-df4afab3278c,17016526,08/16/1/1/1/0044,Nigeria,NGA,Borno,Konduga,0,Auno,0,Pompomari Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.836486816,13.065917969,GRID3_EHEALTH,2024-11-11,13.0659179690001,11.836486816
50,9926bd41-1e1d-412e-852a-83d0725aa93c,36944797,08/05/1/1/1/0013,Nigeria,NGA,Borno,Biu,0,Gunda,0,Duzuwa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,10.8861379998,11.7657590005,GRID3_EHEALTH,2024-11-11,11.7657590000001,10.8861380000001
51,a9955c06-03d1-418a-a7dc-1422e8258d77,76336879,08/05/1/1/1/0031,Nigeria,NGA,Borno,Biu,0,Gunda,0,Panana Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,10.9181189996,11.7692069998,GRID3_EHEALTH,2024-11-11,11.7692070000001,10.918119
52,65e785db-c61a-4bd0-9777-4c9da32597b1,42148609,13/11/1/1/1/0010,Nigeria,NGA,Ekiti,Ikole,0,Ipao/Okeako/Irele,0,Irele Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.00794,5.60872,NHFR_2024,2024-11-11,5.60872000000006,8.00794000000008
53,e230f00e-0a8e-4978-8341-da38fa729c98,66340844,08/05/1/1/2/0009,Nigeria,NGA,Borno,Biu,0,Galdimari,0,Sauki Health Clinic,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,10.61746,12.17441,NHFR_2024,2024-11-11,12.17441,10.6174600000001
54,eb34bb71-58d2-46fa-964c-67b7411c8b38,57295571,08/14/1/1/1/0010,Nigeria,NGA,Borno,Kaga,0,Ngamdu,0,Ngamdu Model Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.7603199998,12.2623799999,GRID3_EHEALTH,2024-11-11,12.2623800000001,11.76032
55,739e1b2f-5cf4-4551-bd7e-0b3ca1100102,52053860,08/12/1/1/1/0029,Nigeria,NGA,Borno,Hawul,0,Shaffa,1,Shaffa Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.51261,12.3276100002,GRID3_EHEALTH,2024-11-11,12.32761,10.5126100000001
56,91526722-df52-4d1d-992e-67a5f212b010,55867498,08/12/1/1/1/0026,Nigeria,NGA,Borno,Hawul,0,Puba Vidor,0,Pelambirin Health Post,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,10.4063229998,12.3703030002,GRID3_EHEALTH,2024-11-11,12.370303,10.406323
57,e5093a67-e212-4385-bae1-2dcc5620e6e6,51459897,08/11/1/2/1/0005,Nigeria,NGA,Borno,Mobbar,0,Zanna Umarti,0,Damasak General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,13.0944100002,12.5050699998,GRID3_EHEALTH,2024-11-11,12.50507,13.09441
58,be660517-80b9-494d-bf26-08c367420c50,70785278,08/07/1/1/1/0061,Nigeria,NGA,Borno,Damboa,0,Damboa,0,Damboa Town Health Clinic,NHFR_2024,Public,Local Government,Primary,Health Post,11.1600109999,12.7539669999,GRID3_EHEALTH,2024-11-11,12.753967,11.1600110000001
59,6e3ba868-7cb0-4c76-a80c-34654f38ed05,36800544,05/05/1/1/1/0011,Nigeria,NGA,Bauchi,Darazo,0,Lago,0,Diggiri Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.219787,10.526103,GRID3_EHEALTH,2024-11-11,10.526103,11.2197870000001
60,9911fe92-3529-4917-8375-62d439d77a97,13839030,08/06/1/1/1/0027,Nigeria,NGA,Borno,Chibok,0,Kuburmbula,0,Mbulabam Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,10.8419299998,12.9123799996,GRID3_EHEALTH,2024-11-11,12.91238,10.84193
61,f9f1dd7b-0d07-4abd-b759-f92a8ade49bc,56206288,08/21/1/1/2/0008,Nigeria,NGA,Borno,Maiduguri,0,Bolori 1,0,Kwatam Medical Clinic,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,11.8632779997,13.1340260002,GRID3_EHEALTH,2024-11-11,13.1340260000001,11.863278
62,03ddf16c-4eef-46e4-bc6e-a99ab7866e66,34965743,08/21/1/1/2/0004,Nigeria,NGA,Borno,Maiduguri,0,Lamisula Jabbamari,0,City Medical Center,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,11.8555040005,13.1518740003,GRID3_EHEALTH,2024-11-11,13.1518740000001,11.8555040000001
63,04251626-1ae7-4f45-b7f0-060aabae4bf5,68083943,28/17/1/1/1/0019,Nigeria,NGA,Ondo,Ose,0,Ute,0,Ute Basic Health Center,NHFR_2024,Public,State Government,Primary,Primary Health Center,6.851501465,5.604492187,GRID3_EHEALTH,2024-11-11,5.60449218700006,6.85150146500007
64,1e662801-7eeb-4212-8c8e-de8224f27be7,15218292,08/02/1/1/1/0048,Nigeria,NGA,Borno,Askira/Uba,0,Wamdeo,1,Walafa Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,10.7773579999,13.3099039997,GRID3_EHEALTH,2024-11-11,13.3099040000001,10.777358
65,c6a918aa-240f-4a25-9858-b02389cc11e2,38022477,08/01/1/1/1/0020,Nigeria,NGA,Borno,Abadam,0,Kudo Kurgu,0,Mallam Fatori Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,13.6644699996,13.3418300003,GRID3_EHEALTH,2024-11-11,13.3418300000001,13.6644700000001
66,c35e6bcd-d3fe-4a3e-b531-55992959e9f5,65920091,08/16/1/2/1/0001,Nigeria,NGA,Borno,Konduga,0,Konduga,1,Konduga General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,11.6571899997,13.4064400002,GRID3_EHEALTH,2024-11-11,13.40644,11.6571900000001
67,3be38c11-9737-468e-8da0-a4a1f3311012,65877832,08/16/1/1/1/0026,Nigeria,NGA,Borno,Konduga,0,Kawuri,0,Kawuri Maternity and  Child Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.5760899996,13.5331900004,GRID3_EHEALTH,2024-11-11,13.53319,11.57609
68,ecc804a3-a400-40a5-8a9e-e1c41c3a997c,68902546,08/19/1/2/1/0001,Nigeria,NGA,Borno,Mafa,0,Mafa,0,Mafa General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,11.9199300002,13.5964400003,GRID3_EHEALTH,2024-11-11,13.59644,11.91993
69,6b12ab72-76bf-4755-8824-404cb922510d,74303232,08/17/1/1/1/0003,Nigeria,NGA,Borno,Kukawa,0,Baga,0,Baga Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,13.0946100004,13.8212600001,GRID3_EHEALTH,2024-11-11,13.8212600000001,13.09461
70,35c2390d-dc92-4e0d-920a-f3e745256642,59759716,08/22/1/1/1/0015,Nigeria,NGA,Borno,Marte,0,Njine,0,New Marte Maternity and  Child Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.2453500003,13.8649399998,GRID3_EHEALTH,2024-11-11,13.86494,12.24535
71,cc7554f2-129d-4dd0-b2f3-677e6e298b0f,70311582,08/11/1/1/1/0041,Nigeria,NGA,Borno,Gwoza,0,Kirawa Jimini,0,Kirawa Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.1904599996,13.9100800004,GRID3_EHEALTH,2024-11-11,13.9100800000001,11.19046
72,faa67824-8a6c-4820-9c92-bc9bca4fdc30,80392430,08/12/1/1/1/0006,Nigeria,NGA,Borno,Hawul,0,Puba Vidor,1,Gwallam Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,10.4665859998,12.3397610005,GRID3_EHEALTH,2024-11-11,12.3397610000001,10.4665860000001
73,00b1c28a-0c19-4c28-b38b-24789869937b,38665284,08/24/1/1/1/0019,Nigeria,NGA,Borno,Monguno,0,Monguno,0,Monguno Town Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,12.6712699997,13.6167900002,GRID3_EHEALTH,2024-11-11,13.61679,12.67127
74,1f3deb26-da12-4cb4-9da5-57aae4eb923c,14313234,08/04/1/1/1/0026,Nigeria,NGA,Borno,Bayo,0,Wuyo,0,Wuyo Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.3837720005,11.695865,GRID3_EHEALTH,2024-11-11,11.695865,10.383772
75,050cc752-1bae-4afd-a782-267f96a2e58e,82832278,08/05/1/1/1/0029,Nigeria,NGA,Borno,Biu,0,Mirnga,0,Mirnga Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.72601,12.14567,NHFR_2024,2024-11-11,12.1456700000001,10.72601
76,284cebdb-14f8-466d-8fc7-66546200d428,31837127,08/02/1/1/1/0026,Nigeria,NGA,Borno,Askira/Uba,0,Rumirgo Chull,0,Rumirgo Federal Model Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.5897230004,13.0422859998,GRID3_EHEALTH,2024-11-11,13.042286,10.589723
77,60377b7d-fe72-4f4f-80ed-4c6f365514ac,70601819,08/02/1/1/1/0027,Nigeria,NGA,Borno,Askira/Uba,0,Uba,0,Muffa Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,10.4562479997,13.2021960005,GRID3_EHEALTH,2024-11-11,13.2021960000001,10.4562480000001
78,f8111193-1733-4e3c-9062-87a7a6f43014,22074608,08/17/1/1/1/0010,Nigeria,NGA,Borno,Kukawa,0,Doro,0,Doro Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,13.1164300002,13.8609800001,GRID3_EHEALTH,2024-11-11,13.86098,13.11643
79,525fd497-db60-4611-a225-3ac3cf5ce275,26351323,28/17/1/1/1/0011,Nigeria,NGA,Ondo,Ose,0,Imoru/Arinmogija,0,Imoru Basic Health Center,NHFR_2024,Public,State Government,Primary,Primary Health Center,6.872924804,5.753112793,GRID3_EHEALTH,2024-11-11,5.75311279300007,6.87292480400004
80,0994a68b-846f-4fed-bdd8-0dd821fc9521,19764163,08/25/1/1/1/0041,Nigeria,NGA,Borno,Ngala,0,Wulgo,0,Wulgo Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.47591,14.17432,GRID3_EHEALTH,2024-11-11,14.17432,12.4759100000001
81,6cbb0cc7-9b8c-4e23-84fd-444ed939db8c,20332875,08/09/1/1/1/0012,Nigeria,NGA,Borno,Gubio,0,Gubio 2,0,Old Gubio Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.5017119995,12.7851140001,GRID3_EHEALTH,2024-11-11,12.785114,12.5017119990001
82,76abd09b-0e02-4d63-a1f9-a3d2e125b856,63593299,08/03/1/1/1/0049,Nigeria,NGA,Borno,Bama,0,Banki,0,Banki Bulabulin Lawanti Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.2489100003,14.150777,GRID3_EHEALTH,2024-11-11,14.1507770000001,11.24891
83,a6f6e4c1-4c8d-4a3b-b31f-a131b6d4b774,27983265,08/13/1/1/1/0017,Nigeria,NGA,Borno,Jere,0,Galtimari,0,Jiddari Polo Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.794494,13.1459250002,GRID3_EHEALTH,2024-11-11,13.145925,11.794494
84,a908f412-1a8a-45dc-8a44-976cecf0dd4d,32792313,08/13/1/1/1/0015,Nigeria,NGA,Borno,Jere,0,Gongulon,0,Gongulong Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.9197900001,13.18684,GRID3_EHEALTH,2024-11-11,13.1868400000001,11.91979
85,712a9ad4-1a1f-4fd0-bd15-fa0cfbcb5a28,58766525,08/26/1/1/1/0009,Nigeria,NGA,Borno,Nganzai,0,Gajiram,0,Gajiram Maternity and Child Health Centre,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.4934599999,13.2141899996,GRID3_EHEALTH,2024-11-11,13.21419,12.49346
