id,name,alternate_name,category,lga,ward_code,lon,lat
b459dac6-2bea-4306-a8f5-d44a8bb2d7b3,Eguare Oria Primary Health Care Center 11,,Primary Health Center,Esan South-East,EDSUBJ03,6.515502930000025,6.679870605000076
d4b0977d-1e77-4414-af0a-3b2142cdf400,Omorodion Primary Health Center,,Primary Health Center,Ovia South-West,EDSGBZ03,5.298889160000044,6.620727539000029
4d256381-4214-4ca4-b849-95a766fe7ae2,Edaiken Primary Care Clinic,,Primary Health Center,Egor,EDSUSL05,5.624511719000054,6.3754882810000595
1a244c1a-b472-42f5-abc7-6c1aed7f357e,Eguari Ohordua Primary Health Care,Comprehensive Health Clinicc,Primary Health Center,Esan South-East,EDSUBJ06,6.40850830100004,6.515686035000044
c80acb8c-8c69-46d6-948d-77abfd0fa141,Inyenlen Primary Health Center,,Primary Health Center,Esan South-East,EDSUBJ05,6.567687988000046,6.506286621000072
c87956c9-8724-4c4c-abaf-23132a2d1681,Uka Imeri Basic Health Center,,Primary Health Center,Akoko-Edo,EDSGAR05,5.93389892600004,7.3115234380000516
6a8e47ec-921f-4c34-ad37-a0914c163d6f,Igue Oke Primary Health Center,,Primary Health Center,Owan East,EDSAFZ07,6.075683594000054,7.193298340000069
57ad99d6-34d4-41a4-b2b2-ec706c94e070,Utoka Health Center,,Primary Health Center,Ovia North-East,EDSAKA13,5.529907226000034,6.374694824000073
b13d686f-5ebe-408c-bff9-871b14d27fa0,Iguoshodin Nebudin Primary Health Center,,Primary Health Center,Ovia North-East,EDSAKA09,5.531494141000053,6.461730957000043
24f65cbe-82af-4ceb-85a2-a457b33f581a,Ogida Primary Health Clinic,,Primary Health Center,Egor,EDSUSL06,5.588073730000076,6.3676757810000595
47014865-4af5-4892-9ce2-b61106a4e82c,Ibhoze Emunekhua Primary Health Center,,Primary Health Center,Esan South-East,EDSUBJ06,6.472473145000038,6.505126953000058
4e0992cf-bacb-442a-9e24-31fe0d93a6da,Ohanmi Primary Health Center,,Primary Health Center,Owan East,EDSAFZ10,6.002319336000028,7.095886231000065
d18fea90-424f-469a-a0f0-88428831194c,Ugbogbo Primary Health Center,Divine Victory Med Center,Primary Health Center,Akoko-Edo,EDSGAR01,6.096923828000058,7.287902832000043
fcaf2f4a-60d6-45df-b3b5-a5694cb587be,Ihilame Jagbe Primary Health Center,,Primary Health Center,Etsako West,EDSAUC06,6.282897949000073,6.822692871000072
c4effefc-3993-4ea3-8d1d-221791cc8dc3,Elele Primary Health Center,,Primary Health Center,Etsako West,EDSAUC01,6.296081543000071,7.115295410000044
49cd5726-057d-4054-a400-541337659ec4,Ikabigbo Primary Health Center,,Primary Health Center,Etsako West,EDSAUC08,6.346313477000024,7.0971069330000205
cc01427b-f85a-4c50-8c9d-bfd2e8797c05,Ugboha Primary Health Center,Primary Health Center Ugboha,Primary Health Center,Esan South-East,EDSUBJ07,6.460083008000026,6.755493164000029
cc6b1c57-a5a8-4a46-98bd-2ae736d4d7a9,Fountain of Life Hospital,,Primary Health Center,Oredo,EDSBEN04,5.625008190556369,6.327950768847144
