osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation
way/791783565,Dukawa Primary Health Centre,PHC,8ea7b8ed-e437-4c4c-b228-858a99e2a6d1,Dukawa Basic Health Center,PHC,Kura,0.9696,match,0.9,0.9964,0.005,True,name 90%; 0.0 km apart; type match
way/792111701,Tariwa Primary Health Centre,PHC,7d269d9c-5e83-42eb-b173-a44417ce87dc,Tariwa Basic Health Center,PHC,Bebeji,0.9696,match,0.9,0.9944,0.008,True,name 90%; 0.0 km apart; type match
way/792191416,Hotoro Primary Health Centre,PHC,99543ed4-ea24-4b0b-9249-593326c1200e,Hotoro North Primary Health Center,PHC,Nassarawa,0.9696,match,0.9,0.999,0.002,True,name 90%; 0.0 km apart; type match
way/792435250,Kutama Primary Health Centre,PHC,5d48edf1-c75d-4f1f-ada8-1605d6321c2b,Kutama Model Primary Health Center,PHC,Gwarzo,0.9696,match,0.9,0.9934,0.01,True,name 90%; 0.0 km apart; type match
way/792827150,Kadamu Primary Health Centre,PHC,406c0d27-0177-43a2-b3ee-0194ae6c084e,Kadamu Model Primary Health Center,PHC,Shanono,0.9696,match,0.9,0.9964,0.005,True,name 90%; 0.0 km apart; type match
way/292050058,Fanisau Primary Health Centre,PHC,2a43eba7-9958-48fb-b4d3-2a617e537369,Panisau Health Clinic,CLINIC,Ungogo,0.9689,match,0.9048,0.98,0.03,False,name 90%; 0.0 km apart; type differs
way/292047627,Gayawa Primary Health Centre,PHC,5345f9c0-5910-4d68-bd30-6dab795d2bf7,Gayawa Basic Health Center,PHC,Ungogo,0.9688,match,0.9,0.9888,0.017,True,name 90%; 0.0 km apart; type match
way/791783043,Dawaki General Hospital,HOSPITAL,766187df-bda8-4e13-a9a5-76f6de3faad8,Dawakin Kudu General Hospital,HOSPITAL,Dawakin Kudu,0.9687,match,0.9,0.9879,0.018,True,name 90%; 0.0 km apart; type match
way/291755879,Sayasaya Health Post,HEALTH_POST,3ac27814-3bc6-4e53-ad0d-d38ac4f4f0ef,Saya Saya Primary Health Clinic,CLINIC,Albasu,0.9686,match,0.8941,0.9995,0.001,False,name 89%; 0.0 km apart; type differs
way/292037278,Fagwalo Health Post,HEALTH_POST,c919b715-c212-4255-bf34-bf9464639816,Fagolo Health Post,HEALTH_POST,Bichi,0.9686,match,0.8944,0.9993,0.001,True,name 89%; 0.0 km apart; type match
way/291753567,Bataiya Primary Health Centre,PHC,482a448e-725b-4c54-a13c-3cdf0980c6f0,Bataiya Primary Health Clinic,CLINIC,Albasu,0.9684,match,0.8933,0.9957,0.006,False,name 89%; 0.0 km apart; type differs
way/291757025,Yan Kau Health Post,HEALTH_POST,43d44e06-f698-4ddf-9b83-57dc71e71d95,Yan Kau Primary Health Clinic,CLINIC,Gaya,0.9684,match,0.8933,0.9983,0.003,False,name 89%; 0.0 km apart; type differs
way/291434863,Gofaro Primary Health Centre,PHC,94e138c1-276e-4d43-9a92-144f53ed29f1,Gofaro Model Primary Health Center,PHC,Gezawa,0.9682,match,0.9,0.9816,0.028,True,name 90%; 0.0 km apart; type match
way/291881003,Ridawa Health Post,HEALTH_POST,8aa7d1c6-8eb8-42eb-bdec-f5ca9d25c7e1,Ridawar Kwari Health Post,HEALTH_POST,Kunchi,0.9682,match,0.8923,0.9988,0.002,True,name 89%; 0.0 km apart; type match
way/792168229,Chiranchi Health Post,HEALTH_POST,ebb33b5c-2761-45c5-b942-5e4d0e94a38a,Chiranci Basic Health Center,PHC,Kumbotso,0.9682,match,0.8921,0.9934,0.01,False,name 89%; 0.0 km apart; type differs
way/290171102,Jaube Health Post,HEALTH_POST,bd48bcd0-9f76-4658-8f6c-0bf5faeb9b56,Jaube Marke Health Post,HEALTH_POST,Dawakin Tofa,0.968,match,0.8909,0.9999,0.0,True,name 89%; 0.0 km apart; type match
way/291442891,Lambu Primary Health Centre,PHC,d268c60f-1a7e-4df5-887b-36bd88b8c185,Lambu Model Primary Health Center,PHC,Tofa,0.968,match,0.8909,0.9974,0.004,True,name 89%; 0.0 km apart; type match
way/292065976,Bugai Primary Health Centre,PHC,9e02b04d-9932-4cc1-9932-cc75ff61bcc6,Bugai Model Primary Health Center,PHC,Tofa,0.968,match,0.8909,0.9922,0.012,True,name 89%; 0.0 km apart; type match
way/792485998,Burji Primary Health Centre,PHC,cad4e6cd-3378-4786-bdf9-192ee25a5789,Burji Model Primary Health Center,PHC,Madobi,0.968,match,0.8909,0.9982,0.003,True,name 89%; 0.0 km apart; type match
way/792570408,Garko Primary Health Centre,PHC,2af3ff56-e3fc-4796-9672-67c7fe0b6da1,Garko Model Primary Health Center,PHC,Garko,0.968,match,0.8909,0.997,0.005,True,name 89%; 0.0 km apart; type match
way/792918559,Balan Primary Health Centre,PHC,b13e9a51-f58a-4455-abcb-7522865c57aa,Balan Model Primary Health Center,PHC,Gaya,0.968,match,0.8909,0.9967,0.005,True,name 89%; 0.0 km apart; type match
way/792485991,Rahama Primary Health Centre,PHC,046403e3-56d3-4eee-a342-6779bb7dd582,Rahama Basic Health Center,PHC,Bebeji,0.9679,match,0.9,0.9773,0.034,True,name 90%; 0.0 km apart; type match
node/2923573790,Turawa Primary Health Centre,PHC,70bb5de1-b596-4ad0-b822-0287874e8e31,Turawa Model Primary Health Center,PHC,Karaye,0.9676,match,0.9,0.9727,0.042,True,name 90%; 0.0 km apart; type match
way/792560632,Gogori Primary Health Centre,PHC,0ecf8b48-348d-4b05-8c28-341c0ac6f76e,Gogori Basic Health Center,PHC,Bagwai,0.9675,match,0.9,0.9715,0.043,True,name 90%; 0.0 km apart; type match
way/292065974,Dawaki General Hospital,HOSPITAL,026630f3-6992-4b76-88cd-1ddbd62c3f31,Dawakin Tofa General Hospital,HOSPITAL,Dawakin Tofa,0.9671,match,0.9,0.9664,0.051,True,name 90%; 0.1 km apart; type match
way/792829698,Sare-Sare Primary Health Centre,PHC,e07b0267-d593-4764-bbd5-c5c20c886bc1,Sare Sare Model Primary Health Center,PHC,Bagwai,0.9669,match,0.8844,0.9939,0.009,True,name 88%; 0.0 km apart; type match
way/791343116,Sitti Primary Health Centre,PHC,0a60ffcb-c887-4bb0-9f0c-ce0b1e1e2e57,Sitti Basic Health Center,PHC,Sumaila,0.9668,match,0.8909,0.9839,0.024,True,name 89%; 0.0 km apart; type match
way/291444437,Rimin Gado Primary Health Centre,PHC,9872504e-340a-4e43-a217-5cc5e1f65795,Rimin Gado Comprehensive Health Center,PHC,Rimin Gado,0.9667,match,0.8833,0.9928,0.011,True,name 88%; 0.0 km apart; type match
way/291921263,Garun Danga Primary Health Centre,PHC,605a07f0-f665-4923-95dc-916a38f874a6,Garin Danga Model Primary Health Center,PHC,Gabasawa,0.9665,match,0.8827,0.9968,0.005,True,name 88%; 0.0 km apart; type match
way/292049015,Yakasai Health Post,HEALTH_POST,6abfe984-4804-4374-95af-71a25fa526d4,Yakasai Dandalama Health Post,HEALTH_POST,Dawakin Tofa,0.9665,match,0.8824,0.9992,0.001,True,name 88%; 0.0 km apart; type match
way/292051051,Kwachiri Primary Health Centre,PHC,a253a096-73ae-486f-8d1f-ecd61145e7a4,Kwaciri Model Primary Health Center,PHC,Fagge,0.9665,match,0.8827,0.9976,0.004,True,name 88%; 0.0 km apart; type match
way/291932106,Immuali Health Post,HEALTH_POST,04990132-fc1d-4a13-bd9b-b79c8b64f07a,Imamu Wali Primary Health Center,PHC,Gezawa,0.9664,match,0.8819,0.9971,0.004,False,name 88%; 0.0 km apart; type differs
node/2923573794,Yola Primary Health Centre,PHC,8dade8e0-6a6d-4d51-89cd-972df0bc470f,Yola Model Primary Health Center,PHC,Karaye,0.9661,match,0.88,0.9979,0.003,True,name 88%; 0.0 km apart; type match
node/2925757203,Kogo Primary Health Centre,PHC,6513af3a-e628-4ecc-8abd-f0244919378d,Kogo Model Primary Health Center,PHC,Kiru,0.9661,match,0.88,0.9988,0.002,True,name 88%; 0.0 km apart; type match
node/2925991016,Kogo Primary Health Centre,PHC,6513af3a-e628-4ecc-8abd-f0244919378d,Kogo Model Primary Health Center,PHC,Kiru,0.9661,match,0.88,0.999,0.001,True,name 88%; 0.0 km apart; type match
node/2929137253,Saye Primary Health Centre,PHC,379f1446-d090-4960-948e-b651d5c3ec93,Saye Model Primary Health Center,PHC,Bichi,0.9661,match,0.88,0.9975,0.004,True,name 88%; 0.0 km apart; type match
way/291444191,Leni Health Post,HEALTH_POST,460b703b-8f76-4986-a0e6-b52c3b60c7d1,Leni Basic Health Center,PHC,Shanono,0.9661,match,0.88,0.9975,0.004,False,name 88%; 0.0 km apart; type differs
way/291901211,Kore Primary Health Centre,PHC,0c75c87c-50ea-487c-840f-285a06a86397,Kore Model Primary Health Center,PHC,Dambatta,0.9661,match,0.88,0.9985,0.002,True,name 88%; 0.0 km apart; type match
way/791267674,Gulu Primary Health Centre,PHC,b80ed345-e72c-42c2-acec-2937e08d1db4,Gulu Model Primary Health Center,PHC,Rimin Gado,0.9661,match,0.88,0.998,0.003,True,name 88%; 0.0 km apart; type match
way/792575215,Lambu Primary Health Centre,PHC,3c865975-38fc-4404-8ffb-5e539b52059e,Lambu Basic Health Center,PHC,Tofa,0.9661,match,0.8909,0.9741,0.039,True,name 89%; 0.0 km apart; type match
way/792158132,Aisami Health Post,HEALTH_POST,1bfbe284-529d-4c90-9794-a4226257be6e,Aisami Primary Health Clinic,CLINIC,Gwale,0.9659,match,0.8857,0.9841,0.024,False,name 89%; 0.0 km apart; type differs
way/792544522,Durba Health Post,HEALTH_POST,437b4ca6-0464-4616-a4ca-794550666c82,Durba Basic Health Center,PHC,Kibiya,0.9658,match,0.8909,0.971,0.044,False,name 89%; 0.0 km apart; type differs
node/2925787874,Yalwa Health Post,HEALTH_POST,f4f877a5-5f59-4775-9efe-45c8810ed8dc,Yalwa Kantudu Health Post,HEALTH_POST,Kiru,0.9655,match,0.8769,0.9981,0.003,True,name 88%; 0.0 km apart; type match
node/12282454154,DORAYI KARAMA PRIMARY HEALTH CARE,HOSPITAL,2128c323-e326-4be0-b47a-080d3a615b1d,Dorayi Karama Primary Health Center,PHC,Gwale,0.965,match,0.8788,0.9894,0.016,False,name 88%; 0.0 km apart; type differs
way/791313365,Sani Mashal Primary Health Centre,PHC,7a2a39e4-db5d-4be2-a779-70e0665e9a11,Sani Marshal Maternity Memorial Center,MATERNITY,Kura,0.9647,match,0.8786,0.9867,0.02,False,name 88%; 0.0 km apart; type differs
way/792569803,Ahip Primary Health Centre,PHC,a1e02858-0b6b-4f6a-91a4-f5cd49f8f414,Ahip Family Health Center,PHC,Garko,0.9647,match,0.8727,0.9956,0.007,True,name 87%; 0.0 km apart; type match
node/2923366078,Kaleku Health Post,HEALTH_POST,baabd7e5-a6bf-4615-97a9-64d2a6bb5de2,Kaleku Primary Health Clinic,CLINIC,Rogo,0.9645,match,0.8857,0.9662,0.052,False,name 89%; 0.1 km apart; type differs
way/291879254,Malikawa Garu Health Post,HEALTH_POST,9eeb2606-e7ec-426c-90f3-e288f0cfb42b,Malikawar Garu Model Primary Health Center,PHC,Bichi,0.9644,match,0.8992,0.9331,0.104,False,name 90%; 0.1 km apart; type differs
way/291871760,Yankamaye Primary Health Centre,PHC,e65efbf4-6d21-4b78-9411-c11e40aa65af,Yankamaye Sabon Gari Basic Health Center,PHC,Tsanyawa,0.964,match,0.8692,0.9982,0.003,True,name 87%; 0.0 km apart; type match
way/291879258,Yandadi Primary Health Centre,PHC,e16e4ac3-8eac-4a39-8972-8355e527fd77,Yandadi Model Primary Health Clinic,CLINIC,Kunchi,0.9635,match,0.8667,0.9947,0.008,False,name 87%; 0.0 km apart; type differs
way/803264502,Zugachi Primary Health Centre,PHC,3cf7f30e-c5f8-46e9-841b-4b8e539d7d63,Zugaci Model Primary Health Center,PHC,Gabasawa,0.9634,match,0.8714,0.9868,0.02,True,name 87%; 0.0 km apart; type match
node/2925699893,Kabo Cottage General Hospital,HOSPITAL,dd4c1584-895f-4218-9bae-96d8f02cdaac,Kabo Cottage Hospital,HOSPITAL,Kabo,0.9624,match,0.8667,0.9873,0.019,True,name 87%; 0.0 km apart; type match
way/792529346,Tsanyawa Primary Health Centre,PHC,cf9bb673-d790-41b1-9335-789d93b7d71b,Tsanyawa Comprehensive Health Center,PHC,Tsanyawa,0.9619,match,0.8727,0.9671,0.05,True,name 87%; 0.1 km apart; type match
node/2925849530,Jama'A Primary Health Centre,PHC,5c3a7551-cf95-4645-9ae2-7345717bab2a,Jamaa Basic Health Center,PHC,Gwarzo,0.9617,match,0.8576,0.9975,0.004,True,name 86%; 0.0 km apart; type match
way/791789897,Karfi Primary Health Centre,PHC,e33e1c1c-8423-49ed-b35c-686fca49abd8,Karfi Health Post,HEALTH_POST,Kura,0.9614,match,1.0,0.6566,0.631,False,name 100%; 0.6 km apart; type differs
way/291921247,Karmami Primary Health Centre,PHC,62840099-df03-4d46-b6fd-073f4f413c0a,Karmami Maternal and Child Health Clinic,CLINIC,Gabasawa,0.9609,match,0.8538,0.9961,0.006,False,name 85%; 0.0 km apart; type differs
way/290523837,Toranke Primary Health Centre,PHC,55b86f8e-2e11-491a-a950-461940dde10e,Toranke Primary Health Care,PHC,Ajingi,0.9605,match,0.8519,0.9996,0.001,True,name 85%; 0.0 km apart; type match
way/292045549,Rijiyar Lemo Maternal and Child Health,HOSPITAL,e8e2203c-4e4f-41e8-bbe8-ae8a361aedfe,Rijiyar Lemo Maternity Clinic,MATERNITY,Fagge,0.9603,match,0.8567,0.9868,0.02,False,name 86%; 0.0 km apart; type differs
way/291442541,Yalwa Primary Health Centre,PHC,d5758286-6181-4dd1-aa46-1229d9a26e7a,Yalwa Danziyal Model Primary Health Center,PHC,Rimin Gado,0.9601,match,0.85,0.9955,0.007,True,name 85%; 0.0 km apart; type match
way/291870148,Yaan'Awaki Health Post,HEALTH_POST,55ddfac6-a58e-4f18-8764-e65bf35269ed,Yan Awaki Health Post,HEALTH_POST,Tsanyawa,0.9601,match,0.8504,0.9995,0.001,True,name 85%; 0.0 km apart; type match
way/291921264,Gabasawa Primary Health Centre,PHC,693b705c-36d5-406f-a0f6-ca9e412d1428,Gabasawa Model Primary Health Care,PHC,Gabasawa,0.9594,match,0.8471,0.9973,0.004,True,name 85%; 0.0 km apart; type match
way/791377515,Masu Primary Health Centre,PHC,08a54e6a-ce59-458c-9bfd-5c0d475c1b8c,Massu Basic Health Center,PHC,Sumaila,0.9592,match,0.8515,0.9867,0.02,True,name 85%; 0.0 km apart; type match
way/792815833,Dal Primary Health Centre,PHC,26e25a42-7d95-4b38-87fb-466874dc2cb0,Dal Model Primary Health Center,PHC,Garko,0.9589,match,0.8444,0.9972,0.004,True,name 84%; 0.0 km apart; type match
way/291666943,Getso Primary Health Centre,PHC,6e2f095c-c6ff-4df7-8088-736b13c39056,Getso Maternal and Child Health Clinic,CLINIC,Gwarzo,0.9582,match,0.8417,0.9965,0.005,False,name 84%; 0.0 km apart; type differs
way/291881005,Makoda Primary Health Centre,PHC,24189f3b-6ef0-41c6-a1e9-fe730639f5d6,Makoda Model Primary Health Care,PHC,Makoda,0.9573,match,0.8375,0.9965,0.005,True,name 84%; 0.0 km apart; type match
way/291932099,Babawa Primary Health Centre,PHC,80e0ee82-7293-4ede-ad34-89dd5b2ba553,Babawa Model Primary Health Care,PHC,Gezawa,0.9573,match,0.8375,0.9963,0.006,True,name 84%; 0.0 km apart; type match
way/792111966,Wak Primary Health Centre,PHC,66764495-0f8d-4de6-9e32-d106c069af63,Wak Basic Health Center,PHC,Bebeji,0.9573,match,0.8444,0.9833,0.025,True,name 84%; 0.0 km apart; type match
node/2925699898,Kiru General Hospital,HOSPITAL,df81b5b2-be76-4ac4-836d-ba90636ee626,Kiru Comprehensive Health Center,PHC,Kiru,0.9571,match,0.8444,0.9814,0.028,False,name 84%; 0.0 km apart; type differs
way/792169792,Dala Health Post,HEALTH_POST,56f015d7-f41a-49a1-b803-ab09c8c4ab78,Dala Maternity and Child Primary Health Center,PHC,Dala,0.9563,match,0.8333,0.9967,0.005,False,name 83%; 0.0 km apart; type differs
way/291444439,Durun Health Post,HEALTH_POST,d8c7c274-0e23-4932-8f18-4fb8a612f98e,Durun Maternity and Child Primary Health Clinic,CLINIC,Kabo,0.9556,match,0.8303,0.9983,0.003,False,name 83%; 0.0 km apart; type differs
node/2953819027,Yanmamman Health Post,HEALTH_POST,bfad14cb-ecb9-47c5-b997-97624af6eb19,Yammammam Health Post,HEALTH_POST,Tsanyawa,0.9549,match,0.8434,0.9614,0.059,True,name 84%; 0.1 km apart; type match
way/292050062,Jaba Primary Health Centre,PHC,0278cd84-5a73-44c7-a056-a56c7be96c8f,Jaba Model Primary Health Care,PHC,Fagge,0.9547,match,0.8267,0.9967,0.005,True,name 83%; 0.0 km apart; type match
way/792081428,Gwale Filin Mushe Maternal and Child Care,HOSPITAL,531e9a0e-ffba-4f5f-9eea-cb4f62457b6a,Gwale Maternity and Child Primary Health Center,PHC,Gwale,0.9547,match,0.8266,0.9993,0.001,False,name 83%; 0.0 km apart; type differs
way/792914593,Tofa Primary Health Centre,PHC,9b8dd736-d1e7-4c6d-aaba-d577621bb6d6,Tofa Comprehensive Health Center,PHC,Tofa,0.9537,match,0.8444,0.9473,0.081,True,name 84%; 0.1 km apart; type match
node/2923366077,Bari Primary Health Centre,PHC,5b4a0e8a-eacc-4c15-a91e-beba22d0f4b9,Bari Model Primary Health Care,PHC,Rogo,0.9536,match,0.8267,0.989,0.017,True,name 83%; 0.0 km apart; type match
way/292045551,Yammata Health Post,HEALTH_POST,cf309098-a3ba-4e48-961a-6d81f237965b,Yanmata Gabas Health Post,HEALTH_POST,Fagge,0.9526,match,0.8183,0.9991,0.001,True,name 82%; 0.0 km apart; type match
way/291901214,Dan Dake Health Post,HEALTH_POST,f4a5e86f-8d7e-4397-9c6b-914fe7cea95b,Yandake Health Post,HEALTH_POST,Gabasawa,0.9514,match,0.8135,0.9989,0.002,True,name 81%; 0.0 km apart; type match
node/2923485903,Ba'Awa Health Post,HEALTH_POST,c877335e-9c48-4b76-91ac-63914727f7fe,Baawa Basic Health Center,PHC,Kiru,0.9505,match,0.8101,0.9994,0.001,False,name 81%; 0.0 km apart; type differs
way/293020842,Sheikh Muhammed Jidda General Hospital,HOSPITAL,6c9a3849-1baf-4dc7-a2d3-e3196ae94073,Sheik Jiddah General Hospital,HOSPITAL,Fagge,0.9494,match,0.8219,0.9618,0.058,True,name 82%; 0.1 km apart; type match
way/292045550,Gyaranya Health Post,HEALTH_POST,05c783af-4fc8-4861-9003-d3bbfbc152ee,Geranya Health Post,HEALTH_POST,Minjibir,0.9478,match,0.8,0.9992,0.001,True,name 80%; 0.0 km apart; type match
way/292047625,Nigerian Air Force Primary Health Centre,PHC,135e4498-b661-410c-b650-5de2ce1851a5,349 Nigerian Airforce Base Hospital,HOSPITAL,Fagge,0.9438,match,0.7863,0.9924,0.011,False,name 79%; 0.0 km apart; type differs
way/291441971,Doka Health Post,HEALTH_POST,41392a12-a854-4244-a190-9e1e9ac70df5,Doka Primary Health Care,PHC,Tofa,0.9424,match,0.8333,0.8762,0.198,False,name 83%; 0.2 km apart; type differs
way/377484015,An Nur Specialist Hospital,HOSPITAL,f48efa7e-1c9c-4862-a885-d180f73a44b4,Al Noury Specialist Hospital,HOSPITAL,Tarauni,0.9379,match,0.7775,0.9757,0.037,True,name 78%; 0.0 km apart; type match
way/291887062,GSS Dambatta Health Post,HEALTH_POST,28236288-9c77-49e1-9ea2-47dacc5e842c,Dambatta General Hospital,HOSPITAL,Dambatta,0.9328,match,0.8889,0.6739,0.592,False,name 89%; 0.6 km apart; type differs
way/288291725,Gaya South Health Post,HEALTH_POST,8ed65024-48dc-46ae-90bd-777d144998a8,Gaya Primary Health Center,PHC,Gaya,0.9284,match,0.88,0.6658,0.61,False,name 88%; 0.6 km apart; type differs
node/2925699895,Kailani Health Post,HEALTH_POST,c9acebca-e691-4e25-b3df-6aaf45774485,Achilafiya Health Post,HEALTH_POST,Kiru,0.9276,review,0.7381,0.9983,0.003,True,name 74%; 0.0 km apart; type match
way/291753928,Fanda Health Post,HEALTH_POST,7581fa9b-3f30-4e16-a075-d1cfed24de96,Panda Model Primary Health Center,PHC,Albasu,0.921,review,0.7212,0.9989,0.002,False,name 72%; 0.0 km apart; type differs
way/792533849,Dawaki Health Post,HEALTH_POST,308e1c26-c100-4998-95c2-45515b181071,Rano Dawaki Health Clinic,CLINIC,Rano,0.9123,review,0.7059,0.9883,0.018,False,name 71%; 0.0 km apart; type differs
way/792572449,Kofar Chiri Primary Health Centre,PHC,f5cdf4de-5114-405c-be1e-14ab38753636,Kafir Chiri Basic Health Center,PHC,Garko,0.9115,review,0.6991,0.9906,0.014,True,name 70%; 0.0 km apart; type match
