osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation
way/791290851,Ayuko hospital,HOSPITAL,15694716-9a22-4fd3-86d1-6543fef51420,Ayunko Clinic and Maternity Home,MATERNITY,Akoko-Edo,0.9546,match,0.8353,0.978,0.033,False,name 84%; 0.0 km apart; type differs
way/803663095,PRIMARY HEALTH CARE,HOSPITAL,e1b7b358-503f-40b3-a03d-20cae067f91e,Utagban Primary Health Care,PHC,Oredo,0.9546,match,0.8261,0.9922,0.012,False,name 83%; 0.0 km apart; type differs
way/791453151,Chisi Cottage Clinic,CLINIC,ff829fe4-16cf-455e-9240-97ac4e74e9d7,Christ Cottage Clinic and Maternity,MATERNITY,Egor,0.9444,match,0.7964,0.9809,0.029,False,name 80%; 0.0 km apart; type differs
node/2161111550,Valif Pharmacy,PHARMACY,74ebcd03-8a47-4357-a5fc-1fd962a4c8e9,Ayolik Medical Center,CLINIC,Oredo,0.8938,review,0.7,0.912,0.138,False,name 70%; 0.1 km apart; type differs
node/2154569173,Itohan Chemist,PHARMACY,49e0e37d-b287-4db9-b9b8-ecaa070272f9,Itohan Medical Center,CLINIC,Egor,0.8801,match,1.0,0.1376,2.975,False,name 100%; 3.0 km apart; type differs
way/160171778,Itidiare Care,HOSPITAL,10fdacc1-42c8-418a-b60d-a2877107e3f4,Divine Care Health Center,PHC,Egor,0.8782,review,0.7257,0.7851,0.363,False,name 73%; 0.4 km apart; type differs
node/2154571096,Life Line Medicare Clinic,CLINIC,0c0524bc-372f-4770-adc4-ce8de25f847b,Efe Medical Clinic,CLINIC,Oredo,0.8572,match,0.7795,0.5788,0.82,True,name 78%; 0.8 km apart; type match
node/2161071405,Nasi Pharmacy,PHARMACY,cc6b1c57-a5a8-4a46-98bd-2ae736d4d7a9,Fountain of Life Hospital,HOSPITAL,Oredo,0.8521,review,0.6458,0.8807,0.191,False,name 65%; 0.2 km apart; type differs
way/791453129,Aronsaye Maternity,MATERNITY,2cec0252-bd47-43fe-a906-b13d977c03e4,Ariowa Clinic,CLINIC,Oredo,0.8509,match,0.7778,0.5613,0.866,False,name 78%; 0.9 km apart; type differs
way/499729830,Central Hospital,HOSPITAL,e2d79569-7610-429c-bf48-8cdd0b88453f,Edi Inetrnational Limited,PHC,Oredo,0.8442,review,0.699,0.7274,0.477,False,name 70%; 0.5 km apart; type differs
way/803283404,Federal Neuro-Psychiatric Hospital,HOSPITAL,2910179d-ec4e-43df-b780-8e3b4aa3c771,Psychiatric Hospital,HOSPITAL,Egor,0.8434,review,0.6111,0.9348,0.101,True,name 61%; 0.1 km apart; type match
node/1994159677,Conic Patent Medical Store,PHARMACY,1f42c7df-5d03-4fc0-89cb-b8a9561edb8d,A1 Winner Clinic and Maternity,MATERNITY,Egor,0.8429,review,0.6033,0.9519,0.074,False,name 60%; 0.1 km apart; type differs
node/2161111257,Union Diagnostics,PHARMACY,9a5e800d-602e-4ee1-a518-8502442cb95c,Irowa Medical Center,CLINIC,Oredo,0.8416,review,0.5922,0.9743,0.039,False,name 59%; 0.0 km apart; type differs
node/2000020871,reliance medical laboratary,PHARMACY,ae515d32-c1d6-405d-b798-601dc8195bdf,Mega Clinic and Maternity,MATERNITY,Egor,0.8382,review,0.6289,0.8759,0.199,False,name 63%; 0.2 km apart; type differs
way/791453152,Ewaen Clinic&Maternity,MATERNITY,3b529b09-cc2d-4163-bba9-1e6d6a7d4ec4,Edo Maternity and Child Clinic,MATERNITY,Oredo,0.8358,review,0.6564,0.8028,0.329,True,name 66%; 0.3 km apart; type match
way/84169520,St. Robina Hospitle,HOSPITAL,bbdb4e40-7d2a-4e21-8e46-161ad6cd3849,Alpha Specialist,HOSPITAL,Oredo,0.8342,review,0.5838,0.9713,0.044,True,name 58%; 0.0 km apart; type match
way/84169606,Children Clinic,CLINIC,a4baca67-efbf-4192-9da4-b66fd20561af,Modic Children Hospital,HOSPITAL,Oredo,0.8327,review,0.7738,0.5129,1.001,False,name 77%; 1.0 km apart; type differs
node/2161074868,Royal end pharmancy,PHARMACY,0f159374-1a65-4110-8689-c172759cb276,St Maternityhais Anglican Hospital,HOSPITAL,Oredo,0.8324,review,0.6578,0.789,0.355,False,name 66%; 0.4 km apart; type differs
node/2344590784,Gods Care Mortuary,HOSPITAL,054c8033-9a47-4d14-a813-67cf47363766,Godscare Clinic,CLINIC,Egor,0.8273,review,0.8889,0.2219,2.258,False,name 89%; 2.3 km apart; type differs
node/2161071550,New Smile Dental Clinic,CLINIC,0c0524bc-372f-4770-adc4-ce8de25f847b,Efe Medical Clinic,CLINIC,Oredo,0.8244,review,0.6454,0.7945,0.345,True,name 65%; 0.3 km apart; type match
node/2072621420,"Pharmacist Council, Edo State Medical Store",PHARMACY,b1513d9f-452c-47ca-82a8-d52bfcabe33e,Oviasu Medical Center,CLINIC,Egor,0.8227,review,0.5832,0.9383,0.096,False,name 58%; 0.1 km apart; type differs
node/2154559627,IK Pharmacy,PHARMACY,5b771110-2676-4311-b202-b2b15a7eddb3,Ikpema Health Certer,PHC,Oredo,0.8214,review,0.76,0.5121,1.004,False,name 76%; 1.0 km apart; type differs
node/2344596628,Toni Care Pharmacy,PHARMACY,0746fcbc-ab52-4b70-9aae-88924a9038b5,God Is Care Hospital,HOSPITAL,Oredo,0.8196,review,0.7571,0.5139,0.999,False,name 76%; 1.0 km apart; type differs
node/2152941179,Airen Pharmacy,PHARMACY,9a5e800d-602e-4ee1-a518-8502442cb95c,Irowa Medical Center,CLINIC,Oredo,0.8186,review,0.6,0.8862,0.181,False,name 60%; 0.2 km apart; type differs
