id,name,alternate_name,category,lga,ward_code,lon,lat
4d22be3e-f300-4277-99cf-4b81d04226ca,Itaonarow Health Center,,Primary Health Center,Idanre,ODSIDNE07,5.148790000000076,7.069280000000049
228c471d-028d-4c89-b952-e88ff5cedcc1,Ajebamidele Health Center,,Primary Health Center,Idanre,ODSIDNE04,5.185670000000073,7.093960000000038
141c590e-9de2-4bf3-8e80-22e7a1c14ce8,Legbira Health Center,,Primary Health Center,Idanre,ODSIDNE07,5.170920000000024,7.026580000000024
7b8d0f17-9424-4bdb-9bd7-175bca8e92ba,Ijare Basic Health Center,,Primary Health Center,Ifedore,ODSIDE05,5.173440000000028,7.373580000000061
e0c5ccc3-dd06-4a54-827e-102e964bc01b,Idepe Idepe Basic Health Center,,Primary Health Center,Idanre,ODSIDNE09,5.063290000000052,6.773630000000026
8d597fe6-e412-4854-8c75-e7ca4cf83322,Elegbeka Basic Health Center,,Primary Health Center,Idanre,ODSIDNE07,5.177550000000053,7.006150000000048
2f01d6d8-c08c-4598-b5e6-af089f41ffa7,Sokoto Primary Health Center Musceu,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU05,4.960040000000049,7.363920000000064
2c5b30e9-4095-44a8-ac45-719d231d6b7a,Igbekebo Communtiy Health Center,,Primary Health Center,Ese Odo,ODSESO05,4.864460000000065,6.357960000000048
cfedb987-881d-489d-a229-c000354ab5f3,Igbekebo General Hospital,,General Hospital,Ese Odo,ODSESO05,4.864960000000053,6.356200000000058
5f1a96c6-e237-4759-96b3-b9766f932727,Abusoro Basic Health Center,,Primary Health Center,Ondo East,ODSOET09,4.933080000000075,7.03087000000005
bf4288f3-697f-4f2e-8a61-033bbe995817,Ode Ajagba Model Primary Health Center,,Primary Health Center,Ese Odo,ODSESO04,4.911910000000034,6.430360000000064
855555d0-ccc4-4e75-a5cc-fa945615e382,May Hospital,,Primary Health Center,Ondo West,ODSOWT11,4.838177816179337,7.100523765822862
5d8aa599-b8d6-4b52-a169-fe0196b73cd1,High Chief Ogunye Memorial Hospital,,Primary Health Center,Ondo West,ODSOWT10,4.830500149839259,7.098293958055628
6176d3cc-fc96-4ff4-861e-2d1dfcec7c16,Ade Olotu Wellfast Hospital,,Primary Health Center,Ondo West,ODSOWT10,4.825787789953523,7.089863029289339
9b4e11f3-2e9c-43ac-83cb-cafa79e0206e,Babalola Medical Center,,Medical Center,Ondo West,ODSOWT10,4.826162344399815,7.093783827236413
9f80c5fa-ed7b-4456-9e66-a594b720e1bb,Tinuade Clinic and Maternity Home,,Maternity Home,Ifedore,ODSIDE10,5.00887917888864,7.399213530664378
e4f659e0-9569-4daf-91bc-1e1035ec6856,Okanimiwei Basic Health Center,,Primary Health Center,Ese Odo,ODSESO08,4.997897969657642,6.1590416117762325
b5a065c2-ec63-4fc5-9065-66118be804d5,Ojdoama Basic Health Center,,Primary Health Center,Ilaje,ODSIAE09,4.898056533072831,6.024969847463106
17defb4a-5aae-40db-b1d5-67a1eaf8a49b,Ago Obe Basic Health Center,,Primary Health Center,Idanre,ODSIDNE03,5.263113657436034,7.041875985011501
593f7402-bd54-4b50-88dc-7d3312167cdc,Elelu Basic Health Center,,Primary Health Center,Idanre,ODSIDNE08,5.079513279221609,7.01832694345472
6f03b61e-b772-4092-b126-0d184300bcd4,Elemo Basic Health Center,,Primary Health Center,Ifedore,ODSIDE10,5.044927935263297,7.372465866481792
e6c81a0e-dd59-4f4f-baaf-a92e32882078,Mariwo Basic Health Center,,Primary Health Center,Ifedore,ODSIDE01,5.101764975520367,7.378257577790849
13d117ff-3a45-4ad9-aa8b-05fdbd4f7293,Igbobi Basic Health Center,,Primary Health Center,Ilaje,ODSIAE06,4.597454988865589,6.467437403599427
1a0ffc24-47f8-4f96-936b-ca0417d7d960,Ode Ugbo Basic Health Center,,Primary Health Center,Ilaje,ODSIAE07,4.7900294787762325,6.160865691208902
9f7b1611-d82f-4629-8894-761c015e20f8,Arenewo Basic Health Center,,Primary Health Center,Ilaje,ODSIAE09,4.901446778272641,5.988128713126977
88f78099-0177-42fc-8871-d08b7d604868,Mese Basic Health Center,,Primary Health Center,Okitipupa,ODSPUP01,4.7723567410531915,6.452796944769049
2ffb4d09-8cf6-461c-b558-5fb7892fb6c9,Sasere Basic Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU05,4.9699691678543365,7.208212144345472
1c3c1fe6-e6ae-4f6e-82e5-b4702d45dd73,Okesiri Basic Health Center,,Primary Health Center,Ilaje,ODSIAE01,4.537773333,6.301056667
719e4f3f-14d9-4566-9867-46e60bf9524b,Idig Bengben Hospital,,Private Non Profit,Ilaje,ODSIAE01,4.538696289000029,6.300109863000046
86f11252-e248-4a14-85fe-a965d6583392,Kolawole Comprehensive Health Center,,Comprehensive Health Center,Ondo East,ODSOET08,4.988869,7.176934
9d2dd26d-2fd8-43fe-94fc-31980e240178,Obun Ondo Basic Health Center,,Primary Health Center,Ondo East,ODSOET08,5.003164442060374,7.173569990027072
7eb411f2-e87f-4e25-a195-01fae757ee46,Jirinwo Basic Health Center,,Primary Health Center,Ilaje,ODSIAE11,4.957358333,5.930336667
ad37bd8d-f1c6-461c-a0c9-29a53a12f127,Ajapa Comprehensive Health Center,,Comprehensive Health Center,Ilaje,ODSIAE07,4.839904785000044,6.101928711000028
5792410d-d0fd-4800-84c8-019d16554601,Bolowou Primary Health Center,,Primary Health Center,Ilaje,ODSIAE08,4.911315918000071,6.065673828000058
baddd86a-42e5-4625-8645-bc35cc05fb6f,Ikorigho Basic Health Center,,Primary Health Center,Ilaje,ODSIAE11,4.932627279586971,5.954376654260183
2f0a0f8f-b4fe-475b-a63d-12e53bfc3344,Odonla Basic Health Center,,Primary Health Center,Ilaje,ODSIAE11,4.9456750669635845,5.940587023472449
3f74184b-589f-4edb-815d-140ff020b456,Ukpe Primary Health Center,,Primary Health Center,Ilaje,ODSIAE08,4.950500488000046,6.0825195310000595
