name_display,name_nfc,name_ascii_key,name_type,countries,languages,sources,source_ids,total_evidence_count,occurrence_count,last_seen_at
Silinde,Silinde,silinde,family,TZ,en,wikidata,Q30099198,3,1,2026-04-11T04:03:05.784060+00:00
Sillah,Sillah,sillah,family,GM|SL,en,wikidata,Q7515323,2,2,2026-04-11T03:56:03.432992+00:00
Silva,Silva,silva,family,KE|NG,en,wikidata,Q6327150,2,2,2026-04-11T04:01:06.680289+00:00
Silveira,Silveira,silveira,family,GM,en,wikidata,Q10371528,4,1,2026-04-11T03:55:47.241547+00:00
Silvester,Silvester,silvester,family,KE,en,wikidata,Q37024221,3,1,2026-04-11T04:01:06.680289+00:00
Sima,Sima,sima,family,GM|SN,en,wikidata,Q28753420,6,2,2026-04-11T03:55:47.241547+00:00
Simakan,Simakan,simakan,family,GN,en,wikidata,Q106549395,2,1,2026-04-11T03:56:43.370233+00:00
Simba,Simba,simba,family,SN|TZ,en,wikidata,Q30125665,6,2,2026-04-11T04:03:05.784060+00:00
Simbachawene,Simbachawene,simbachawene,family,TZ,en,wikidata,Q30100175,3,1,2026-04-11T04:03:05.784060+00:00
Sime,Sime,sime,family,ET,en,wikidata,Q29996747,3,1,2026-04-11T04:03:51.884736+00:00
Simeon,Simeon,simeon,family,UG,en,wikidata,Q16883346,3,1,2026-04-11T04:02:16.934249+00:00
Simon,Simon,simon,family,ER|ET|NG|TZ,en,wikidata,Q2287331,4,4,2026-04-11T04:06:05.956447+00:00
Simons,Simons,simons,family,GH,en,wikidata,Q18327304,3,1,2026-04-11T03:55:04.900162+00:00
Simpson,Simpson,simpson,family,GH|UG,en,wikidata,Q2800825,6,2,2026-04-11T04:02:16.934249+00:00
Sinani,Sinani,sinani,family,TZ,en,wikidata,Q30103020,3,1,2026-04-11T04:03:05.784060+00:00
Sinayobye,Sinayobye,sinayobye,family,RW,en,wikidata,Q128497717,1,1,2026-04-11T04:06:35.644753+00:00
Sindikubwabo,Sindikubwabo,sindikubwabo,family,RW,en,wikidata,Q38223116,3,1,2026-04-11T04:06:35.644753+00:00
