name_display,name_nfc,name_ascii_key,name_type,countries,languages,sources,source_ids,total_evidence_count,occurrence_count,last_seen_at
Sankey,Sankey,sankey,family,NG,en,wikidata,Q36954501,3,1,2026-04-11T03:53:58.817238+00:00
Sankharé,Sankharé,sankhare,family,ML|SN,en,wikidata,Q90419969,8,6,2026-04-11T03:58:48.444484+00:00
Sankoh,Sankoh,sankoh,family,SL,en,wikidata,Q37044948,3,1,2026-04-11T03:56:03.432992+00:00
Sanni,Sanni,sanni,family,NG,en,wikidata,Q37198247,3,1,2026-04-11T03:53:58.817238+00:00
Sano,Sano,sano,family,GN,en,wikidata,Q20895064|Q61121232,2,2,2026-04-11T03:56:43.370233+00:00
Sanogo,Sanogo,sanogo,family,ML,en,wikidata,Q20997805,3,1,2026-04-11T03:58:48.444484+00:00
Santos,Santos,santos,family,KE,en,wikidata,Q4407937,3,1,2026-04-11T04:01:06.680289+00:00
Sanusi,Sanusi,sanusi,family,NG,en,wikidata,Q26877838,3,1,2026-04-11T03:53:58.817238+00:00
Sanwo,Sanwo,sanwo,family,NG,en,wikidata,Q76669386,3,1,2026-04-11T03:53:58.817238+00:00
Sanya,Sanya,sanya,family,NG|TZ,en,wikidata,Q30106093,6,2,2026-04-11T04:03:05.784060+00:00
Sanyang,Sanyang,sanyang,family,GM|SN,en,wikidata,Q30669669,6,2,2026-04-11T03:55:47.241547+00:00
Sanyu,Sanyu,sanyu,family,UG,en,wikidata,Q128408494,1,1,2026-04-11T04:02:16.934249+00:00
Sao,Sao,sao,family,ML,en,wikidata,Q37534063,3,1,2026-04-11T03:58:48.444484+00:00
Sapara,Sapara,sapara,family,NG,en,wikidata,Q111773450,3,1,2026-04-11T03:53:58.817238+00:00
Sapi,Sapi,sapi,family,TZ,ar,wikidata,Q107445635,1,1,2026-04-11T04:03:05.784060+00:00
Sapong,Sapong,sapong,family,GH,en,wikidata,Q108858683,2,1,2026-04-11T03:55:04.900162+00:00
Sar,Sar,sar,family,SN,en,wikidata,Q37482785,3,1,2026-04-11T03:55:29.976892+00:00
Sarah,Sarah,sarah,family,GN,en,wikidata,Q29575469,3,1,2026-04-11T03:56:43.370233+00:00
Saraki,Saraki,saraki,family,NG,en,wikidata,Q104862855,1,1,2026-04-11T03:53:58.817238+00:00
Sarfo,Sarfo,sarfo,family,GH,en,wikidata,Q36904986,3,1,2026-04-11T03:55:04.900162+00:00
Sargeant,Sargeant,sargeant,family,TZ,en,wikidata,Q37098750,1,1,2026-04-11T04:03:05.784060+00:00
Sarki Ado,Sarki Ado,sarkiado,family,NG,en,wikidata,Q4683959,1,1,2026-04-11T03:53:58.817238+00:00
Sarpong,Sarpong,sarpong,family,GH,en,wikidata,Q1271172,1,1,2026-04-11T03:55:04.900162+00:00
Sarr,Sarr,sarr,family,GM|GN|SN,en,wikidata,Q21498621,9,3,2026-04-11T03:56:43.370233+00:00
Sasso,Sasso,sasso,family,SL,en,wikidata,Q16882748,1,1,2026-04-11T03:56:03.432992+00:00
Satekla,Satekla,satekla,family,GH,en,wikidata,Q114672511,1,1,2026-04-11T03:55:04.900162+00:00
Saúda,Saúda,sauda,family,UG,en,wikidata,Q63642149,3,1,2026-04-11T04:02:16.934249+00:00
Sauro,Sauro,sauro,family,ML,en,wikidata,Q37501594,3,1,2026-04-11T03:58:48.444484+00:00
Sauvalle,Sauvalle,sauvalle,family,SN,en,wikidata,Q101042671,2,1,2026-04-11T03:55:29.976892+00:00
Savage,Savage,savage,family,GM|NG,en,wikidata,Q13560071,6,2,2026-04-11T03:55:47.241547+00:00
Savané,Savané,savane,family,GN|SN,en,wikidata,Q48980663,8,6,2026-04-11T03:56:43.370233+00:00
Savorelli,Savorelli,savorelli,family,ER,en,wikidata,Q100437550,2,1,2026-04-11T04:06:05.956447+00:00
Sawa,Sawa,sawa,family,NG,en,wikidata,Q42896821,6,1,2026-04-11T03:53:58.817238+00:00
Sawe,Sawe,sawe,family,KE,en,wikidata,Q134269159,1,1,2026-04-11T04:01:06.680289+00:00
Sawyerr,Sawyerr,sawyerr,family,GH|SL,en,wikidata,Q37293287,6,2,2026-04-11T03:56:03.432992+00:00
Say,Say,say,family,NE,en,wikidata,Q37453536,3,1,2026-04-11T03:59:54.371781+00:00
Saydee,Saydee,saydee,family,LR,en,wikidata,Q37166319,3,1,2026-04-11T03:56:18.349080+00:00
Saye,Saye,saye,family,GM,en,wikidata,Q30610305,1,1,2026-04-11T03:55:47.241547+00:00
Say (nom de famille),Say (nom de famille),saynomdefamille,family,NE,fr,wikidata,Q37453536,1,1,2026-04-11T03:59:54.371781+00:00
Sayon,Sayon,sayon,family,LR,en,wikidata,Q37256546,3,1,2026-04-11T03:56:18.349080+00:00
Scarborough,Scarborough,scarborough,family,LR,en,wikidata,Q16882796,1,1,2026-04-11T03:56:18.349080+00:00
Schiff,Schiff,schiff,family,RW,en,wikidata,Q21451083,3,1,2026-04-11T04:06:35.644753+00:00
Schindler,Schindler,schindler,family,GH,en,wikidata,Q2236136,1,1,2026-04-11T03:55:04.900162+00:00
Schlupp,Schlupp,schlupp,family,GH,en,wikidata,Q27207744,3,1,2026-04-11T03:55:04.900162+00:00
